x,y
-30972.0622504687,-4671.7277254687
-30973.0610967730,-4671.7757469256
-30974.0599430774,-4671.8237683825
-30975.0587893817,-4671.8717898395
-30976.0576356860,-4671.9198112964
-30977.0564819904,-4671.9678327533
-30978.0553282947,-4672.0158542103
-30979.0541745990,-4672.0638756672
-30980.0530209033,-4672.1118971242
-30981.0518672077,-4672.1599185811
-30982.0507135120,-4672.2079400380
-30983.0495598163,-4672.2559614950
-30984.0484061207,-4672.3039829519
-30985.0472524250,-4672.3520044089
-30986.0460987293,-4672.4000258658
-30987.0449450337,-4672.4480473227
-30988.0437913380,-4672.4960687797
-30989.0426376423,-4672.5440902366
-30990.0414839466,-4672.5921116936
-30991.0403302510,-4672.6401331505
-30992.0391765553,-4672.6881546074
-30993.0380228596,-4672.7361760644
-30994.0368691640,-4672.7841975213
-30995.0357154683,-4672.8322189782
-30996.0345617726,-4672.8802404352
-30997.0334080770,-4672.9282618921
-30998.0322543813,-4672.9762833491
-30999.0311006856,-4673.0243048060
-31000.0299469899,-4673.0723262629
-31001.0287932943,-4673.1203477199
-31002.0276395986,-4673.1683691768
-31003.0264859029,-4673.2163906338
-31004.0253322073,-4673.2644120907
-31005.0241785116,-4673.3124335476
-31006.0230248159,-4673.3604550046
-31007.0218711203,-4673.4084764615
-31008.0207174246,-4673.4564979185
-31009.0195637289,-4673.5045193754
-31010.0184100332,-4673.5525408323
-31011.0172563376,-4673.6005622893
-31012.0161026419,-4673.6485837462
-31013.0149489462,-4673.6966052031
-31014.0137952506,-4673.7446266601
-31015.0126415549,-4673.7926481170
-31016.0114878592,-4673.8406695740
-31017.0103341636,-4673.8886910309
-31018.0091804679,-4673.9367124878
-31019.0080267722,-4673.9847339448
-31020.0068730765,-4674.0327554017
-31021.0057193809,-4674.0807768587
-31022.0045656852,-4674.1287983156
-31023.0034119895,-4674.1768197725
-31024.0022582939,-4674.2248412295
-31025.0011045982,-4674.2728626864
-31025.9999509025,-4674.3208841434
-31026.9987972069,-4674.3689056003
-31027.9976435112,-4674.4169270572
-31028.9964898155,-4674.4649485142
-31029.9953361198,-4674.5129699711
-31030.9941824242,-4674.5609914280
-31031.9930287285,-4674.6090128850
-31032.9918750328,-4674.6570343419
-31033.9907213372,-4674.7050557989
-31034.9895676415,-4674.7530772558
-31035.9884139458,-4674.8010987127
-31036.9872602502,-4674.8491201697
-31037.9861065545,-4674.8971416266
-31038.9849528588,-4674.9451630836
-31039.9837991631,-4674.9931845405
-31040.9826454675,-4675.0412059974
-31041.9814917718,-4675.0892274544
-31042.9803380761,-4675.1372489113
-31043.9791843805,-4675.1852703683
-31044.9780306848,-4675.2332918252
-31045.9768769891,-4675.2813132821
-31046.9757232934,-4675.3293347391
-31047.9745695978,-4675.3773561960
-31048.9734159021,-4675.4253776529
-31049.9722622064,-4675.4733991099
-31050.9711085108,-4675.5214205668
-31051.9699548151,-4675.5694420238
-31052.9688011194,-4675.6174634807
-31053.9676474238,-4675.6654849376
-31054.9664937281,-4675.7135063946
-31055.9653400324,-4675.7615278515
-31056.9641863368,-4675.8095493085
-31057.9630326411,-4675.8575707654
-31058.9618789454,-4675.9055922223
-31059.9607252497,-4675.9536136793
-31060.9595715541,-4676.0016351362
-31061.9584178584,-4676.0496565932
-31062.9572641627,-4676.0976780501
-31063.9561104671,-4676.1456995070
-31064.9549567714,-4676.1937209640
-31065.9538030757,-4676.2417424209
-31066.9526493800,-4676.2897638778
-31067.9514956844,-4676.3377853348
-31068.9503419887,-4676.3858067917
-31069.9491882930,-4676.4338282487
-31070.9480345974,-4676.4818497056
-31071.9468809017,-4676.5298711625
-31072.9462576282,-4676.5625936903
-31073.9460313582,-4676.5838654718
-31074.9458050883,-4676.6051372533
-31075.9455788184,-4676.6264090348
-31076.9453525484,-4676.6476808163
-31077.9451262785,-4676.6689525977
-31078.9449000085,-4676.6902243792
-31079.9446737386,-4676.7114961607
-31080.9444474686,-4676.7327679422
-31081.9442211987,-4676.7540397237
-31082.9439949288,-4676.7753115052
-31083.9437686588,-4676.7965832867
-31084.9435423889,-4676.8178550682
-31085.9433161189,-4676.8391268497
-31086.9430898490,-4676.8603986312
-31087.9428635790,-4676.8816704127
-31088.9426373091,-4676.9029421941
-31089.9424110392,-4676.9242139756
-31090.9421847692,-4676.9454857571
-31091.9419584993,-4676.9667575386
-31092.9417322293,-4676.9880293201
-31093.9415059594,-4677.0093011016
-31094.9412796894,-4677.0305728831
-31095.9410534195,-4677.0518446646
-31096.9408271496,-4677.0731164461
-31097.9406008796,-4677.0943882276
-31098.9403746097,-4677.1156600090
-31099.9401483397,-4677.1369317905
-31100.9399220698,-4677.1582035720
-31101.9396957998,-4677.1794753535
-31102.9394695299,-4677.2007471350
-31103.9392432600,-4677.2220189165
-31104.9390169900,-4677.2432906980
-31105.9387907201,-4677.2645624795
-31106.9385644501,-4677.2858342610
-31107.9383381802,-4677.3071060425
-31108.9381119102,-4677.3283778240
-31109.9378856403,-4677.3496496054
-31110.9376593704,-4677.3709213869
-31111.9374331004,-4677.3921931684
-31112.9372068305,-4677.4134649499
-31113.9369805605,-4677.4347367314
-31114.9367542906,-4677.4560085129
-31115.9365280206,-4677.4772802944
-31116.9363017507,-4677.4985520759
-31117.9360754807,-4677.5198238574
-31118.9358492108,-4677.5410956389
-31119.9356229409,-4677.5623674204
-31120.9353966709,-4677.5836392018
-31121.9351704010,-4677.6049109833
-31122.9349441310,-4677.6261827648
-31123.9347178611,-4677.6474545463
-31124.9344915911,-4677.6687263278
-31125.9342653212,-4677.6899981093
-31126.9340390513,-4677.7112698908
-31127.9338127813,-4677.7325416723
-31128.9335865114,-4677.7538134538
-31129.9333602414,-4677.7750852353
-31130.9331339715,-4677.7963570167
-31131.9329077015,-4677.8176287982
-31132.9326814316,-4677.8389005797
-31133.9324551617,-4677.8601723612
-31134.9322288917,-4677.8814441427
-31135.9320026218,-4677.9027159242
-31136.9317763518,-4677.9239877057
-31137.9315500819,-4677.9452594872
-31138.9313238119,-4677.9665312687
-31139.9310975420,-4677.9878030502
-31140.9308712721,-4678.0090748317
-31141.9306450021,-4678.0303466131
-31142.9304187322,-4678.0516183946
-31143.9301924622,-4678.0728901761
-31144.9299661923,-4678.0941619576
-31145.9297399224,-4678.1154337391
-31146.9295136524,-4678.1367055206
-31147.9292873825,-4678.1579773021
-31148.9290611125,-4678.1792490836
-31149.9288348426,-4678.2005208651
-31150.9286085726,-4678.2217926466
-31151.9283823027,-4678.2430644280
