x,y
-27248.8667780551,-5156.4756149303
-27248.3754568681,-5157.3465933981
-27247.8841356812,-5158.2175718658
-27247.3928144943,-5159.0885503336
-27246.9014933073,-5159.9595288013
-27246.4101721204,-5160.8305072691
-27245.9188509335,-5161.7014857368
-27245.4275297465,-5162.5724642046
-27244.9362085596,-5163.4434426723
-27244.4448873727,-5164.3144211400
-27243.9535661857,-5165.1853996078
-27243.4622449988,-5166.0563780755
-27242.9709238119,-5166.9273565433
-27242.4796026249,-5167.7983350110
-27241.9882814380,-5168.6693134788
-27241.4969602511,-5169.5402919465
-27241.0056390642,-5170.4112704142
-27240.5143178772,-5171.2822488820
-27240.0229966903,-5172.1532273497
-27239.5316755034,-5173.0242058175
-27239.1091135307,-5173.9280666135
-27238.7395441073,-5174.8572697351
-27238.3699746840,-5175.7864728568
-27238.0004052606,-5176.7156759785
-27237.6308358372,-5177.6448791001
-27237.2612664138,-5178.5740822218
-27236.8916969904,-5179.5032853434
-27236.5221275670,-5180.4324884651
-27236.1525581436,-5181.3616915867
-27235.7829887203,-5182.2908947084
-27235.4134192969,-5183.2200978301
-27235.0438498735,-5184.1493009517
-27234.6742804501,-5185.0785040734
-27234.3047110267,-5186.0077071950
-27233.9351416033,-5186.9369103167
-27233.5655721799,-5187.8661134383
-27233.1960027566,-5188.7953165600
-27232.8264333332,-5189.7245196817
-27232.4568639098,-5190.6537228033
-27232.0872944864,-5191.5829259250
-27231.7177250630,-5192.5121290466
-27231.3481556396,-5193.4413321683
-27230.9785862162,-5194.3705352899
-27230.6090167928,-5195.2997384116
-27230.2394473695,-5196.2289415333
-27229.8698779461,-5197.1581446549
-27229.5003085227,-5198.0873477766
-27229.1307390993,-5199.0165508982
-27228.7611696759,-5199.9457540199
-27228.3916002525,-5200.8749571415
-27228.0220308291,-5201.8041602632
-27227.6524614058,-5202.7333633849
-27227.2828919824,-5203.6625665065
-27226.9133225590,-5204.5917696282
-27226.5437531356,-5205.5209727498
-27226.1741837122,-5206.4501758715
-27225.8046142888,-5207.3793789931
-27225.4350448654,-5208.3085821148
-27225.0654754420,-5209.2377852365
-27224.6959060187,-5210.1669883581
-27224.3263365953,-5211.0961914798
-27223.9567671719,-5212.0253946014
-27223.5871977485,-5212.9545977231
-27223.2176283251,-5213.8838008447
-27222.8480589017,-5214.8130039664
-27222.4784894783,-5215.7422070881
-27222.1089200550,-5216.6714102097
-27221.7393506316,-5217.6006133314
-27221.3697812082,-5218.5298164530
-27221.0002117848,-5219.4590195747
-27220.6306423614,-5220.3882226963
-27220.2610729380,-5221.3174258180
-27219.8915035146,-5222.2466289397
-27219.5219340913,-5223.1758320613
-27219.1523646679,-5224.1050351830
-27218.7827952445,-5225.0342383046
-27218.4132258211,-5225.9634414263
-27218.0436563977,-5226.8926445480
-27217.6740869743,-5227.8218476696
-27217.3045175509,-5228.7510507913
-27216.9349481275,-5229.6802539129
-27216.5653787042,-5230.6094570346
-27216.1958092808,-5231.5386601562
-27215.8262398574,-5232.4678632779
-27215.4566704340,-5233.3970663996
-27215.0871010106,-5234.3262695212
-27214.7175315872,-5235.2554726429
-27214.3479621638,-5236.1846757645
-27213.9783927405,-5237.1138788862
-27213.6088233171,-5238.0430820078
-27213.2392538937,-5238.9722851295
-27212.8696844703,-5239.9014882512
-27212.5001150469,-5240.8306913728
-27212.1305456235,-5241.7598944945
-27211.7609762001,-5242.6890976161
-27211.3914067767,-5243.6183007378
