x,y
-26533.2812112221,-9773.5866156356
-26534.1924619280,-9771.6239218073
-26535.1037126340,-9769.6612279790
-26536.0149633400,-9767.6985341507
-26536.9262140459,-9765.7358403224
-26537.8374647519,-9763.7731464941
-26538.7487154579,-9761.8104526658
-26539.6599661639,-9759.8477588375
-26540.5712168698,-9757.8850650092
-26541.4824675758,-9755.9223711809
-26542.3937182818,-9753.9596773526
-26543.3049689878,-9751.9969835243
-26544.2162196937,-9750.0342896960
-26545.1274703997,-9748.0715958677
-26546.0387211057,-9746.1089020394
-26546.9499718116,-9744.1462082111
-26547.8612225176,-9742.1835143828
-26548.7724732236,-9740.2208205545
-26549.6837239296,-9738.2581267262
-26550.5949746355,-9736.2954328979
-26551.5062253415,-9734.3327390696
-26552.4174760475,-9732.3700452413
-26553.3287267534,-9730.4073514130
-26554.2399774594,-9728.4446575847
-26555.1512281654,-9726.4819637564
-26556.0624788714,-9724.5192699281
-26556.9737295773,-9722.5565760998
-26557.8849802833,-9720.5938822715
-26558.7962309893,-9718.6311884432
-26559.7074816952,-9716.6684946148
-26560.6187324012,-9714.7058007865
-26561.5299831072,-9712.7431069582
-26562.4412338132,-9710.7804131299
-26563.3524845191,-9708.8177193016
-26564.2637352251,-9706.8550254733
-26565.1749859311,-9704.8923316450
-26566.0862366371,-9702.9296378167
-26566.9974873430,-9700.9669439884
-26567.9087380490,-9699.0042501601
-26568.8199887550,-9697.0415563318
-26569.7312394609,-9695.0788625035
-26570.6424901669,-9693.1161686752
-26571.5537408729,-9691.1534748469
-26572.4649915789,-9689.1907810186
-26573.3762422848,-9687.2280871903
-26574.2874929908,-9685.2653933620
-26575.1987436968,-9683.3026995337
-26576.1099944027,-9681.3400057054
-26577.0212451087,-9679.3773118771
-26577.9324958147,-9677.4146180488
-26578.8437465207,-9675.4519242205
-26579.7549972266,-9673.4892303922
-26580.6662479326,-9669.3886022153
-26581.5774986387,-9665.2879740383
-26582.4887493447,-9661.1873458613
-26583.4000000507,-9657.0867176844
-26584.3112507567,-9652.9860895074
-26585.2225014627,-9648.8854613305
-26586.1337521687,-9644.7848331535
-26587.0450028747,-9640.6842049765
-26587.9562535807,-9636.5835767996
-26588.8675042867,-9632.4829486226
-26589.7787549927,-9628.3823204457
-26590.6900056987,-9624.2816922687
-26591.6012564047,-9620.1810640917
-26592.5125071108,-9616.0804359148
-26593.4237578168,-9611.9798077378
-26594.3350085228,-9607.8791795608
-26595.2462592288,-9603.7785513839
-26596.1575099348,-9599.6779232069
-26597.0687606408,-9595.5772950300
-26597.9800113468,-9591.4766668530
-26598.8912620528,-9587.3760386760
-26599.8025127588,-9583.2754104991
-26600.7137634648,-9579.1747823221
-26601.6250141708,-9575.0741541451
-26602.5362648768,-9570.9735259682
-26603.4475155828,-9566.8728977912
-26604.3587662889,-9562.7722696143
-26605.2700169949,-9558.6716414373
-26606.1812677009,-9554.5710132603
-26607.0925184069,-9550.4703850834
-26608.0037691129,-9546.3697569064
-26608.9150198189,-9542.2691287294
-26609.8262705249,-9538.1685005525
-26610.7375212309,-9534.0678723755
-26611.6487719369,-9529.9672441986
-26612.5600226429,-9525.8666160216
-26613.4712733489,-9521.7659878446
-26614.3825240549,-9517.6653596677
-26615.2937747610,-9513.5647314907
-26616.2050254670,-9509.4641033137
-26617.1162761730,-9505.3634751368
-26618.0275268790,-9501.2628469598
-26618.9387775850,-9497.1622187829
-26619.8500282910,-9493.0615906059
-26620.7612789970,-9488.9609624289
-26621.6725297030,-9484.8603342520
-26622.5837804090,-9480.7597060750
-26623.4950311150,-9476.6590778981
-26624.4062818210,-9472.5584497211
-26625.3175325270,-9468.4578215441
-26626.2287832331,-9464.3571933672
-26626.4741199616,-9460.1864689821
-26626.7194566901,-9456.0157445970
-26626.9647934186,-9451.8450202119
-26627.2101301472,-9447.6742958268
-26627.4554668757,-9443.5035714417
-26627.7008036042,-9439.3328470566
-26627.9461403328,-9435.1621226715
-26628.1914770613,-9430.9913982864
-26628.4368137898,-9426.8206739013
-26628.6821505184,-9422.6499495162
-26628.9274872469,-9418.4792251312
-26629.1728239754,-9414.3085007461
-26629.4181607039,-9410.1377763610
-26629.6634974325,-9405.9670519759
-26629.9088341610,-9401.7963275908
-26630.1541708895,-9397.6256032057
-26630.3995076181,-9393.4548788206
-26630.6448443466,-9389.2841544355
-26630.8901810751,-9385.1134300504
-26631.1355178037,-9380.9427056653
-26631.3808545322,-9376.7719812802
-26631.6261912607,-9372.6012568951
-26631.8715279892,-9368.4305325100
-26632.1168647178,-9364.2598081249
-26632.3622014463,-9360.0890837399
-26632.6075381748,-9355.9183593548
-26632.8528749034,-9351.7476349697
-26633.0982116319,-9347.5769105846
-26633.3435483604,-9343.4061861995
-26633.5888850890,-9339.2354618144
-26633.8342218175,-9335.0647374293
-26634.0795585460,-9330.8940130442
-26634.3248952745,-9326.7232886591
-26634.5702320031,-9322.5525642740
-26634.8155687316,-9318.3818398889
-26635.0609054601,-9314.2111155038
-26635.3062421887,-9310.0403911188
-26635.5515789172,-9305.8696667337
-26635.7969156457,-9301.6989423486
-26636.0422523743,-9297.5282179635
-26636.2875891028,-9293.3574935784
-26636.5329258313,-9289.1867691933
-26636.7782625598,-9285.0160448082
-26637.0235992884,-9280.8453204231
-26637.2689360169,-9276.6745960380
-26637.5142727454,-9272.5038716529
-26637.7596094740,-9268.3331472678
-26638.0049462025,-9264.1624228827
-26638.2502829310,-9259.9916984976
-26638.4956196596,-9255.8209741125
-26638.7409563881,-9251.6502497275
-26638.7760044922,-9249.6875558992
-26638.8110525963,-9247.7248620709
-26638.8461007003,-9245.7621682426
-26638.8811488044,-9243.7994744143
-26638.9161969085,-9241.8367805860
-26638.9512450126,-9239.8740867577
-26638.9862931167,-9237.9113929294
-26639.0213412208,-9235.9486991012
-26639.0563893249,-9233.9860052729
-26639.0914374290,-9232.0233114446
-26639.1264855330,-9230.0606176163
-26639.1615336371,-9228.0979237880
-26639.1965817412,-9226.1352299597
-26639.2316298453,-9224.1725361314
-26639.2666779494,-9222.2098423032
-26639.3017260535,-9220.2471484749
-26639.3367741576,-9218.2844546466
-26639.3718222616,-9216.3217608183
-26639.4068703657,-9214.3590669900
-26639.4419184698,-9212.3963731617
-26639.4769665739,-9210.4336793334
-26639.5120146780,-9208.4709855051
-26639.5470627821,-9206.5082916769
-26639.5821108862,-9204.5455978486
-26639.6171589902,-9202.5829040203
-26639.6522070943,-9200.6202101920
-26639.6872551984,-9198.6575163637
-26639.7223033025,-9196.6948225354
-26639.7573514066,-9194.7321287071
-26639.7923995107,-9192.7694348788
-26639.8274476148,-9190.8067410506
-26639.8624957188,-9188.8440472223
-26639.8975438229,-9186.8813533940
-26639.9325919270,-9184.9186595657
-26639.9676400311,-9182.9559657374
-26640.0026881352,-9180.9932719091
-26640.0377362393,-9179.0305780808
-26640.0727843434,-9177.0678842526
-26640.1078324474,-9175.1051904243
-26640.1428805515,-9173.1424965960
-26640.1779286556,-9171.1798027677
-26640.2129767597,-9169.2171089394
-26640.2480248638,-9167.2544151111
-26640.2830729679,-9165.2917212828
-26640.3181210720,-9163.3290274545
-26640.3531691760,-9161.3663336263
-26640.3882172801,-9159.4036397980
-26640.4232653842,-9157.4409459697
-26640.4583134883,-9155.4782521414
-26640.4933615924,-9153.5155583131
-26640.5284096965,-9151.5528644848
-26640.7036502168,-9149.3097858239
-26640.8788907372,-9147.0667071630
-26641.0541312576,-9144.8236285021
-26641.2293717779,-9142.5805498412
-26641.4046122983,-9140.3374711803
-26641.5798528186,-9138.0943925194
-26641.7550933390,-9135.8513138585
-26641.9303338594,-9133.6082351976
-26642.1055743797,-9131.3651565367
-26642.2808149001,-9129.1220778758
-26642.4560554204,-9126.8789992149
-26642.6312959408,-9124.6359205540
-26642.8065364612,-9122.3928418931
-26642.9817769815,-9120.1497632322
-26643.1570175019,-9117.9066845712
-26643.3322580222,-9115.6636059103
-26643.5074985426,-9113.4205272494
-26643.6827390630,-9111.1774485885
-26643.8579795833,-9108.9343699276
-26644.0332201037,-9106.6912912667
-26644.2084606241,-9104.4482126058
-26644.3837011444,-9102.2051339449
-26644.5589416648,-9099.9620552840
-26644.7341821851,-9097.7189766231
-26644.9094227055,-9095.4758979622
-26645.0846632259,-9093.2328193013
-26645.2599037462,-9090.9897406404
-26645.4351442666,-9088.7466619795
