x,y
-26122.4859737792,-9586.1624139904
-26123.5494950221,-9584.1650692171
-26124.6130162650,-9582.1677244438
-26125.6765375079,-9580.1703796705
-26126.7400587508,-9578.1730348973
-26127.8035799937,-9576.1756901240
-26128.8671012366,-9574.1783453507
-26129.9306224796,-9572.1810005774
-26130.9941437225,-9570.1836558041
-26132.0576649654,-9568.1863110309
-26133.1211862083,-9566.1889662576
-26134.1847074512,-9564.1916214843
-26135.2482286941,-9562.1942767110
-26136.3117499370,-9560.1969319377
-26137.3752711800,-9558.1995871645
-26138.4387924229,-9556.2022423912
-26139.5023136658,-9554.2048976179
-26140.5658349087,-9552.2075528446
-26141.6293561516,-9550.2102080713
-26142.6928773945,-9548.2128632981
-26143.7563986375,-9546.2155185248
-26144.8199198804,-9544.2181737515
-26145.8834411233,-9542.2208289782
-26146.9469623662,-9540.2234842049
-26148.0104836091,-9538.2261394317
-26149.0740048520,-9536.2287946584
-26150.1375260949,-9534.2314498851
-26151.2010473379,-9532.2341051118
-26152.2645685808,-9530.2367603386
-26153.3280898237,-9528.2394155653
-26154.3916110666,-9526.2420707920
-26155.4551323095,-9524.2447260187
-26156.5186535524,-9522.2473812454
-26157.5821747953,-9520.2500364722
-26158.6456960383,-9518.2526916989
-26159.7092172812,-9516.2553469256
-26160.7727385241,-9514.2580021523
-26161.8362597670,-9512.2606573790
-26162.8997810099,-9510.2633126058
-26163.9633022528,-9508.2659678325
-26165.0268234958,-9506.2686230592
-26166.0903447387,-9504.2712782859
-26167.1538659816,-9502.2739335126
-26168.2173872245,-9500.2765887394
-26169.2809084674,-9498.2792439661
-26170.3444297103,-9496.2818991928
-26171.4079509532,-9494.2845544195
-26172.4714721962,-9492.2872096462
-26173.5349934391,-9490.2898648730
-26174.5985146820,-9488.2925200997
-26175.6620359249,-9486.2951753264
-26176.7255571678,-9484.2978305531
-26177.3481061881,-9482.6636393750
-26177.9706552083,-9481.0294481969
-26178.5932042285,-9479.3952570187
-26179.2157532488,-9477.7610658406
-26179.8383022690,-9476.1268746624
-26180.4608512893,-9474.4926834843
-26181.0834003095,-9472.8584923062
-26181.7059493298,-9471.2243011280
-26182.3284983500,-9469.5901099499
-26182.9510473702,-9467.9559187718
-26183.5735963905,-9466.3217275936
-26184.1961454107,-9464.6875364155
-26184.8186944310,-9463.0533452373
-26185.4412434512,-9461.4191540592
-26186.0637924715,-9459.7849628811
-26186.6863414917,-9458.1507717029
-26187.3088905119,-9456.5165805248
-26187.9314395322,-9454.8823893466
-26188.5539885524,-9453.2481981685
-26189.1765375727,-9451.6140069904
-26189.7990865929,-9449.9798158122
-26190.4216356132,-9448.3456246341
-26191.0441846334,-9446.7114334560
-26191.6667336536,-9445.0772422778
-26192.2892826739,-9443.4430510997
-26192.9118316941,-9441.8088599215
-26193.5343807144,-9440.1746687434
-26194.1569297346,-9438.5404775653
-26194.7794787549,-9436.9062863871
-26195.4020277751,-9435.2720952090
-26196.0245767953,-9433.6379040309
-26196.6471258156,-9432.0037128527
-26197.2696748358,-9430.3695216746
-26197.8922238561,-9428.7353304964
-26198.5147728763,-9427.1011393183
-26199.1373218966,-9425.4669481402
-26199.7598709168,-9423.8327569620
-26200.3824199370,-9422.1985657839
-26201.0049689573,-9420.5643746058
-26201.6275179775,-9418.9301834276
-26202.2500669978,-9417.2959922495
-26202.8726160180,-9415.6618010713
-26203.4951650383,-9414.0276098932
-26204.1177140585,-9412.3934187151
-26204.7402630787,-9410.7592275369
-26205.3628120990,-9409.1250363588
-26205.9853611192,-9407.4908451807
-26206.6079101395,-9405.8566540025
-26207.2304591597,-9404.2224628244
-26207.8530081800,-9402.5882716462
-26208.4755572002,-9400.9540804681
-26209.3834411881,-9398.4898239296
-26210.2913251759,-9396.0255673912
-26211.1992091638,-9393.5613108527
-26212.1070931516,-9391.0970543143
-26213.0149771395,-9388.6327977758
-26213.9228611273,-9386.1685412373
-26214.8307451152,-9383.7042846989
-26215.7386291030,-9381.2400281604
-26216.6465130909,-9378.7757716220
-26217.5543970787,-9376.3115150835
-26218.4622810666,-9373.8472585450
-26219.3701650545,-9371.3830020066
-26220.2780490423,-9368.9187454681
-26221.1859330302,-9366.4544889296
-26222.0938170180,-9363.9902323912
-26223.0017010059,-9361.5259758527
-26223.9095849937,-9359.0617193143
-26224.8174689816,-9356.5974627758
-26225.7253529694,-9354.1332062373
-26226.6332369573,-9351.6689496989
-26227.5411209451,-9349.2046931604
-26228.4490049330,-9346.7404366220
-26229.3568889209,-9344.2761800835
-26230.2647729087,-9341.8119235450
-26231.1726568966,-9339.3476670066
-26232.0805408844,-9336.8834104681
-26232.9884248723,-9334.4191539296
-26233.8963088601,-9331.9548973912
-26234.8041928480,-9329.4906408527
-26235.7120768358,-9327.0263843143
-26236.6199608237,-9324.5621277758
-26237.5278448115,-9322.0978712373
-26238.4357287994,-9319.6336146989
-26239.3436127872,-9317.1693581604
-26240.2514967751,-9314.7051016220
-26241.1593807630,-9312.2408450835
-26242.0672647508,-9309.7765885450
-26242.9751487387,-9307.3123320066
-26243.8830327265,-9304.8480754681
-26244.7909167144,-9302.3838189296
-26245.6988007022,-9299.9195623912
-26246.6066846901,-9297.4553058527
-26247.5145686779,-9294.9910493143
-26248.4224526658,-9292.5267927758
-26249.3303366536,-9290.0625362373
-26250.2382206415,-9287.5982796989
-26251.1461046294,-9285.1340231604
-26252.0539886172,-9282.6697666220
-26252.9618726051,-9280.2055100835
-26253.8697565929,-9277.7412535450
-26254.7776405808,-9275.2769970066
-26255.7374036536,-9273.0721358932
-26256.6971667265,-9270.8672747798
-26257.6569297994,-9268.6624136665
-26258.6166928723,-9266.4575525531
-26259.5764559451,-9264.2526914398
-26260.5362190180,-9262.0478303264
-26261.4959820909,-9259.8429692130
-26262.4557451638,-9257.6381080997
-26263.4155082366,-9255.4332469863
-26264.3752713095,-9253.2283858730
-26265.3350343824,-9251.0235247596
-26266.2947974553,-9248.8186636462
-26267.2545605281,-9246.6138025329
-26268.2143236010,-9244.4089414195
-26269.1740866739,-9242.2040803062
-26270.1338497468,-9239.9992191928
-26271.0936128196,-9237.7943580794
-26272.0533758925,-9235.5894969661
-26273.0131389654,-9233.3846358527
-26273.9729020383,-9231.1797747394
-26274.9326651111,-9228.9749136260
-26275.8924281840,-9226.7700525126
-26276.8521912569,-9224.5651913993
-26277.8119543298,-9222.3603302859
-26278.7717174026,-9220.1554691726
-26279.7314804755,-9217.9506080592
-26280.6912435484,-9215.7457469458
-26281.6510066213,-9213.5408858325
-26282.6107696941,-9211.3360247191
-26283.5705327670,-9209.1311636058
-26284.5302958399,-9206.9263024924
-26285.4900589128,-9204.7214413790
-26286.4498219856,-9202.5165802657
-26287.4095850585,-9200.3117191523
-26288.3693481314,-9198.1068580390
-26289.3291112043,-9195.9019969256
-26290.2888742771,-9193.6971358122
-26291.2486373500,-9191.4922746989
-26292.2084004229,-9189.2874135855
-26293.1681634958,-9187.0825524722
-26294.1279265686,-9184.8776913588
-26295.0876896415,-9182.6728302454
-26296.0474527144,-9180.4679691321
-26297.0072157873,-9178.2631080187
-26297.9669788601,-9176.0582469054
-26298.9267419330,-9173.8533857920
-26299.8865050059,-9171.6485246786
-26300.8462680787,-9169.4436635653
-26301.8060311516,-9167.2388024519
-26302.7657942245,-9165.0339413386
-26303.7255572974,-9162.8290802252
-26304.3740458601,-9160.8836145369
-26305.0225344229,-9158.9381488487
-26305.6710229856,-9156.9926831604
-26306.3195115484,-9155.0472174722
-26306.9680001111,-9153.1017517839
-26307.6164886739,-9151.1562860956
-26308.2649772366,-9149.2108204074
-26308.9134657994,-9147.2653547191
-26309.5619543621,-9145.3198890309
-26310.2104429249,-9143.3744233426
-26310.8589314877,-9141.4289576543
