x,y
-30956.3344216283,-4680.2384147646
-30958.5775002892,-4680.2384147646
-30960.8205789501,-4680.2384147646
-30963.0636576110,-4680.2384147646
-30965.3067362719,-4680.2384147646
-30967.5498149328,-4680.2384147646
-30969.7928935937,-4680.2384147646
-30972.0359722546,-4680.2384147646
-30974.2790509155,-4680.2384147646
-30976.5221295764,-4680.2384147646
-30978.7652082373,-4680.2384147646
-30981.0082868982,-4680.2384147646
-30983.2513655591,-4680.2384147646
-30985.4944442200,-4680.2384147646
-30987.7375228809,-4680.2384147646
-30989.9806015418,-4680.2384147646
-30992.2236802027,-4680.2384147646
-30994.4667588636,-4680.2384147646
-30996.7098375245,-4680.2384147646
-30998.9529161854,-4680.2384147646
-31001.1959948463,-4680.2384147646
-31003.4390735072,-4680.2384147646
-31005.6821521681,-4680.2384147646
-31007.9252308290,-4680.2384147646
-31010.1683094899,-4680.2384147646
-31012.4113881508,-4680.2384147646
-31014.6544668117,-4680.2384147646
-31016.8975454726,-4680.2384147646
-31019.1406241335,-4680.2384147646
-31021.3837027944,-4680.2384147646
-31023.6267814553,-4680.2384147646
-31025.8698601162,-4680.2384147646
-31028.1129387771,-4680.2384147646
-31030.3560174380,-4680.2384147646
-31032.5990960989,-4680.2384147646
-31034.8421747597,-4680.2384147646
-31037.0852534206,-4680.2384147646
-31039.3283320815,-4680.2384147646
-31041.5714107424,-4680.2384147646
-31043.8144894033,-4680.2384147646
-31046.0575680642,-4680.2384147646
-31048.3006467251,-4680.2384147646
-31050.5437253860,-4680.2384147646
-31052.7868040469,-4680.2384147646
-31055.0298827078,-4680.2384147646
-31057.2729613687,-4680.2384147646
-31059.5160400296,-4680.2384147646
-31061.7591186905,-4680.2384147646
-31064.0021973514,-4680.2384147646
-31066.2452760123,-4680.2384147646
-31068.4883546732,-4680.2384147646
-31070.7314333341,-4680.2384147646
-31072.8343195787,-4680.3435590768
-31074.9372058233,-4680.4487033890
-31077.0400920679,-4680.5538477012
-31079.1429783125,-4680.6589920135
-31081.2458645571,-4680.7641363257
-31083.3487508017,-4680.8692806379
-31085.4516370463,-4680.9744249502
-31087.5545232909,-4681.0795692624
-31089.6574095355,-4681.1847135746
-31091.7602957800,-4681.2898578869
-31093.8631820246,-4681.3950021991
-31095.9660682692,-4681.5001465113
-31098.0689545138,-4681.6052908235
-31100.1718407584,-4681.7104351358
-31102.2747270030,-4681.8155794480
-31104.3776132476,-4681.9207237602
-31106.4804994922,-4682.0258680725
-31108.5833857368,-4682.1310123847
-31110.6862719814,-4682.2361566969
-31112.7891582260,-4682.3413010092
-31114.8920444706,-4682.4464453214
-31116.9949307152,-4682.5515896336
-31119.0978169597,-4682.6567339458
-31121.2007032043,-4682.7618782581
-31123.3035894489,-4682.8670225703
-31125.4064756935,-4682.9721668825
-31127.5093619381,-4683.0773111948
-31129.6122481827,-4683.1824555070
-31131.7151344273,-4683.2875998192
-31133.8180206719,-4683.3927441314
-31135.9209069165,-4683.4978884437
-31138.0237931611,-4683.6030327559
-31140.1266794057,-4683.7081770681
-31142.2295656503,-4683.8133213804
-31144.3324518949,-4683.9184656926
-31146.4353381394,-4684.0236100048
-31148.5382243840,-4684.1287543171
-31150.6411106286,-4684.2338986293
-31152.7439968732,-4684.3390429415
-31154.8468831178,-4684.4441872537
-31156.9497693624,-4684.5493315660
-31159.0526556070,-4684.6544758782
-31161.1555418516,-4684.7596201904
-31163.2584280962,-4684.8647645027
-31165.3613143408,-4684.9699088149
-31167.4642005854,-4685.0750531271
-31169.5670868300,-4685.1801974393
-31171.6699730745,-4685.2853417516
