x,y
-36613.5351622719,10462.0438321243
-36614.5349843201,10462.0626966913
-36615.5348063683,10462.0815612582
-36616.5346284165,10462.1004258252
-36617.5344504647,10462.1192903921
-36618.5342725130,10462.1381549591
-36619.5340945612,10462.1570195260
-36620.5339166094,10462.1758840929
-36621.5337386576,10462.1947486599
-36622.5335607059,10462.2136132268
-36623.5333827541,10462.2324777938
-36624.5332048023,10462.2513423607
-36625.5330268505,10462.2702069277
-36626.5328488988,10462.2890714946
-36627.5326709470,10462.3079360616
-36628.5324929952,10462.3268006285
-36629.5323150434,10462.3456651955
-36630.5321370917,10462.3645297624
-36631.5199576055,10462.2688681186
-36632.4941481839,10462.0431410333
-36633.4683387623,10461.8174139481
-36634.4425293406,10461.5916868629
-36635.4167199190,10461.3659597776
-36636.3909104974,10461.1402326924
-36637.3651010758,10460.9145056072
-36638.3392916541,10460.6887785219
-36639.3134822325,10460.4630514367
-36640.2876728109,10460.2373243515
-36641.2618633893,10460.0115972662
-36642.2360539676,10459.7858701810
-36643.2102445460,10459.5601430958
-36644.1844351244,10459.3344160105
-36645.1586257027,10459.1086889253
-36646.1328162811,10458.8829618401
-36647.1070068595,10458.6572347548
-36648.0811974379,10458.4315076696
-36649.0553880162,10458.2057805844
-36650.0295785946,10457.9800534991
-36651.0037691730,10457.7543264139
-36651.9779597514,10457.5285993287
-36652.9521503297,10457.3028722434
-36653.9263409081,10457.0771451582
-36654.9005314865,10456.8514180730
-36655.8747220649,10456.6256909877
-36656.8489126432,10456.3999639025
-36657.8231032216,10456.1742368173
-36658.7972938000,10455.9485097320
-36659.7714843784,10455.7227826468
-36660.7456749567,10455.4970555616
-36661.7198655351,10455.2713284763
-36662.6940561135,10455.0456013911
-36663.6682466918,10454.8198743059
-36664.6424372702,10454.5941472206
-36665.6166278486,10454.3684201354
-36666.5908184270,10454.1426930502
-36667.5650090053,10453.9169659649
-36668.5391995837,10453.6912388797
-36669.5133901621,10453.4655117945
-36670.4875807405,10453.2397847092
-36671.4617713188,10453.0140576240
-36672.4542892781,10452.9538753264
-36673.4542635857,10452.9610436010
-36674.4542378933,10452.9682118756
-36675.4542122009,10452.9753801502
-36676.4541865085,10452.9825484249
-36677.4541608161,10452.9897166995
-36678.4541351237,10452.9968849741
-36679.4541094313,10453.0040532487
-36680.4540837389,10453.0112215233
-36681.4540580464,10453.0183897979
-36682.4540323540,10453.0255580725
-36683.4540066616,10453.0327263471
-36684.4539809692,10453.0398946217
-36685.4539552768,10453.0470628963
-36686.4539295844,10453.0542311709
-36687.4539038920,10453.0613994455
-36688.4538781996,10453.0685677201
-36689.4538525072,10453.0757359947
-36690.4538268148,10453.0829042693
-36691.4538011223,10453.0900725439
-36692.4537754299,10453.0972408186
-36693.4537497375,10453.1044090932
-36694.4537240451,10453.1115773678
-36695.4536983527,10453.1187456424
-36696.4536726603,10453.1259139170
-36697.4536469679,10453.1330821916
-36698.4536212755,10453.1402504662
-36699.4535955831,10453.1474187408
-36700.4535698907,10453.1545870154
-36701.4535441982,10453.1617552900
-36702.4535185058,10453.1689235646
-36703.4534928134,10453.1760918392
-36704.4534671210,10453.1832601138
-36705.4534414286,10453.1904283884
-36706.4534157362,10453.1975966630
-36707.4533900438,10453.2047649376
-36708.4533643514,10453.2119332123
-36709.4533386590,10453.2191014869
-36710.4533129665,10453.2262697615
-36711.4532872741,10453.2334380361
-36712.4532615817,10453.2406063107
-36713.4532358893,10453.2477745853
-36714.4532101969,10453.2549428599
-36715.4531845045,10453.2621111345
-36716.4531588121,10453.2692794091
-36717.4531331197,10453.2764476837
-36718.4530596836,10453.2879689383
-36719.4529506555,10453.3027352606
-36720.4528416275,10453.3175015830
-36721.4527325994,10453.3322679054
-36722.4526235713,10453.3470342278
-36723.4525145432,10453.3618005501
-36724.4524055151,10453.3765668725
-36725.4522964870,10453.3913331949
-36726.4521874590,10453.4060995172
-36727.4520784309,10453.4208658396
-36728.4519694028,10453.4356321620
-36729.4518603747,10453.4503984843
-36730.4517513466,10453.4651648067
-36731.4516423186,10453.4799311291
-36732.4515332905,10453.4946974515
-36733.4514242624,10453.5094637738
-36734.4513152343,10453.5242300962
-36735.4512062062,10453.5389964186
-36736.4510971781,10453.5537627409
-36737.4509881501,10453.5685290633
-36738.4508791220,10453.5832953857
-36739.4507700939,10453.5980617080
-36740.4506610658,10453.6128280304
-36741.4505520377,10453.6275943528
-36742.4504430097,10453.6423606752
-36743.4503339816,10453.6571269975
-36744.4502249535,10453.6718933199
-36745.4501159254,10453.6866596423
-36746.4500068973,10453.7014259646
-36747.4498978692,10453.7161922870
-36748.4497888412,10453.7309586094
-36749.4496798131,10453.7457249317
-36750.4495707850,10453.7604912541
-36751.4494617569,10453.7752575765
-36752.4493527288,10453.7900238989
-36753.4492437008,10453.8047902212
-36754.4491346727,10453.8195565436
-36755.4490256446,10453.8343228660
-36756.4489166165,10453.8490891883
-36757.4488075884,10453.8638555107
-36758.4486985603,10453.8786218331
-36759.4485895323,10453.8933881554
-36760.4484805042,10453.9081544778
-36761.4483714761,10453.9229208002
-36762.4482624480,10453.9376871226
-36763.4481534199,10453.9524534449
-36764.4480443919,10453.9672197673
-36765.4479353638,10453.9819860897
-36766.4478263357,10453.9967524120
-36767.4477173076,10454.0115187344
-36768.4476082795,10454.0262850568
-36769.4474992514,10454.0410513791
-36770.4473902234,10454.0558177015
-36771.4472811953,10454.0705840239
-36772.4471721672,10454.0853503463
-36773.4470631391,10454.1001166686
-36774.4469541110,10454.1148829910
-36775.4468450830,10454.1296493134
-36776.4467360549,10454.1444156357
-36777.4466270268,10454.1591819581
-36778.4465179987,10454.1739482805
-36779.4464089706,10454.1887146029
-36780.4462999425,10454.2034809252
-36781.4461909145,10454.2182472476
-36782.4460818864,10454.2330135700
-36783.4459728583,10454.2477798923
-36784.4458638302,10454.2625462147
-36785.4457548021,10454.2773125371
-36786.4456457741,10454.2920788594
-36787.4455367460,10454.3068451818
-36788.4454277179,10454.3216115042
-36789.4453186898,10454.3363778266
-36790.4452096617,10454.3511441489
-36791.4451006336,10454.3659104713
-36792.4449916056,10454.3806767937
-36793.4448825775,10454.3954431160
-36794.4447735494,10454.4102094384
-36795.4446645213,10454.4249757608
-36796.4445554932,10454.4397420831
-36797.4444464652,10454.4545084055
-36798.4443374371,10454.4692747279
-36799.4442284090,10454.4840410503
-36800.4441193809,10454.4988073726
-36801.4440103528,10454.5135736950
-36802.4439013247,10454.5283400174
-36803.4437922967,10454.5431063397
-36804.4436832686,10454.5578726621
-36805.4435742405,10454.5726389845
-36806.4434652124,10454.5874053068
-36807.4433561843,10454.6021716292
-36808.4432471563,10454.6169379516
-36809.4431381282,10454.6317042740
-36810.4430291001,10454.6464705963
-36811.4429200720,10454.6612369187
-36812.4428110439,10454.6760032411
-36813.4427020159,10454.6907695634
-36814.4425929878,10454.7055358858
-36815.4424839597,10454.7203022082
-36816.4423749316,10454.7350685305
-36817.4422659035,10454.7498348529
-36818.4421568754,10454.7646011753
-36819.4420478474,10454.7793674977
-36820.4419388193,10454.7941338200
-36821.4418297912,10454.8089001424
-36822.4417207631,10454.8236664648
-36823.4416117350,10454.8384327871
-36824.4415027070,10454.8531991095
-36825.4413936789,10454.8679654319
-36826.4412846508,10454.8827317542
-36827.4411756227,10454.8974980766
-36828.4410665946,10454.9122643990
-36829.4409575665,10454.9270307214
-36830.4408485385,10454.9417970437
