x,y
-32885.1347978478,-4480.1006652870
-32885.1045087211,-4481.1002064662
-32885.0742195945,-4482.0997476453
-32885.0439304678,-4483.0992888245
-32885.0136413412,-4484.0988300036
-32884.9833522146,-4485.0983711828
-32884.9530630879,-4486.0979123619
-32884.9227739613,-4487.0974535411
-32884.8924848346,-4488.0969947202
-32884.8621957080,-4489.0965358994
-32884.8319065813,-4490.0960770785
-32884.8016174547,-4491.0956182576
-32884.7713283281,-4492.0951594368
-32884.7410392014,-4493.0947006159
-32884.7107500748,-4494.0942417951
-32884.6804609481,-4495.0937829742
-32884.6501718215,-4496.0933241534
-32884.6198826949,-4497.0928653325
-32884.5895935682,-4498.0924065117
-32884.5593044416,-4499.0919476908
-32884.5290153149,-4500.0914888700
-32884.4987261883,-4501.0910300491
-32884.4684370617,-4502.0905712282
-32884.4381479350,-4503.0901124074
-32884.4078588084,-4504.0896535865
-32884.3775696817,-4505.0891947657
-32884.3472805551,-4506.0887359448
-32884.3169914285,-4507.0882771240
-32884.2867023018,-4508.0878183031
-32884.2564131752,-4509.0873594823
-32884.2261240485,-4510.0869006614
-32884.1958349219,-4511.0864418405
-32884.1655457952,-4512.0859830197
-32884.1352566686,-4513.0855241988
-32884.1049675420,-4514.0850653780
-32884.0746784153,-4515.0846065571
-32884.0554479850,-4516.0841332706
-32884.0883519691,-4517.0835917879
-32884.1212559533,-4518.0830503052
-32884.1541599374,-4519.0825088225
-32884.1870639215,-4520.0819673398
-32884.2199679056,-4521.0814258571
-32884.2528718897,-4522.0808843745
-32884.2857758738,-4523.0803428918
-32884.3186798579,-4524.0798014091
-32884.3515838420,-4525.0792599264
-32884.3844878261,-4526.0787184437
-32884.4173918102,-4527.0781769610
-32884.4502957943,-4528.0776354783
-32884.4831997785,-4529.0770939957
-32884.5161037626,-4530.0765525130
-32884.5490077467,-4531.0760110303
-32884.5819117308,-4532.0754695476
-32884.6148157149,-4533.0749280649
-32884.6477196990,-4534.0743865822
-32884.6806236831,-4535.0738450995
-32884.7135276672,-4536.0733036168
-32884.7464316513,-4537.0727621342
-32884.7793356354,-4538.0722206515
-32884.8122396195,-4539.0716791688
-32884.8451436037,-4540.0711376861
-32884.8780475878,-4541.0705962034
-32884.9109515719,-4542.0700547207
-32884.9438555560,-4543.0695132380
-32884.9767595401,-4544.0689717554
-32885.0096635242,-4545.0684302727
-32885.0425675083,-4546.0678887900
-32885.0754714924,-4547.0673473073
-32885.1083754765,-4548.0668058246
-32885.1412794606,-4549.0662643419
-32885.1741834447,-4550.0657228592
-32885.2070874289,-4551.0651813765
-32885.2399914130,-4552.0646398939
-32885.2728953971,-4553.0640984112
-32885.3057993812,-4554.0635569285
-32885.3387033653,-4555.0630154458
-32885.3716073494,-4556.0624739631
-32885.4045113335,-4557.0619324804
-32885.4374153176,-4558.0613909977
-32885.4703193017,-4559.0608495150
-32885.5032232858,-4560.0603080324
-32885.5361272699,-4561.0597665497
-32885.5690312541,-4562.0592250670
-32885.6019352382,-4563.0586835843
-32885.6348392223,-4564.0581421016
-32885.6677432064,-4565.0576006189
-32885.7006471905,-4566.0570591362
-32885.7335511746,-4567.0565176536
-32885.7664551587,-4568.0559761709
-32885.8697594885,-4569.0469850967
-32886.0742971273,-4570.0258437966
-32886.2788347661,-4571.0047024964
-32886.4833724049,-4571.9835611963
-32886.6879100437,-4572.9624198962
-32886.8924476824,-4573.9412785961
