x,y
-30993.1582511104,1555.0386100050
-30994.0619889493,1555.4666963497
-30994.9657267882,1555.8947826944
-30995.8694646271,1556.3228690392
-30996.7732024659,1556.7509553839
-30997.6769403048,1557.1790417287
-30998.5806781437,1557.6071280734
-30999.4844159826,1558.0352144181
-31000.3881538215,1558.4633007629
-31001.2918916604,1558.8913871076
-31002.1956294993,1559.3194734524
-31003.0993673382,1559.7475597971
-31004.0031051771,1560.1756461418
-31004.9068430160,1560.6037324866
-31005.8105808549,1561.0318188313
-31006.7143186938,1561.4599051761
-31007.6180565327,1561.8879915208
-31008.5217943716,1562.3160778655
-31009.4255322105,1562.7441642103
-31010.3292700494,1563.1722505550
-31011.2330078882,1563.6003368997
-31012.1367457271,1564.0284232445
-31013.0404835660,1564.4565095892
-31013.9442214049,1564.8845959340
-31014.8479592438,1565.3126822787
-31015.7516970827,1565.7407686234
-31016.6554349216,1566.1688549682
-31017.5591727605,1566.5969413129
-31018.4629105994,1567.0250276577
-31019.3666484383,1567.4531140024
-31020.2703862772,1567.8812003471
-31021.1741241161,1568.3092866919
-31022.0778619550,1568.7373730366
-31022.9815997939,1569.1654593814
-31023.8853376328,1569.5935457261
-31024.7890754716,1570.0216320708
-31025.6928133105,1570.4497184156
-31026.5965511494,1570.8778047603
-31027.5002889883,1571.3058911051
-31028.4040268272,1571.7339774498
-31029.3077646661,1572.1620637945
-31030.2115025050,1572.5901501393
-31031.1152403439,1573.0182364840
-31032.0189781828,1573.4463228287
-31032.9227160217,1573.8744091735
-31033.8264538606,1574.3024955182
-31034.7301916995,1574.7305818630
-31035.6339295384,1575.1586682077
-31036.5376673773,1575.5867545524
-31037.4414052162,1576.0148408972
-31038.3451430550,1576.4429272419
-31039.2488808939,1576.8710135867
-31040.1526187328,1577.2990999314
-31041.0563565717,1577.7271862761
-31041.9600944106,1578.1552726209
-31042.8638322495,1578.5833589656
-31043.7675700884,1579.0114453104
-31044.6713079273,1579.4395316551
-31045.5750457662,1579.8676179998
-31046.4787836051,1580.2957043446
-31047.3825214440,1580.7237906893
-31048.2862592829,1581.1518770341
-31049.1899971218,1581.5799633788
-31050.0937349607,1582.0080497235
-31050.9974727996,1582.4361360683
-31051.9012106385,1582.8642224130
-31052.8049484773,1583.2923087577
-31053.7086863162,1583.7203951025
-31054.6124241551,1584.1484814472
-31055.5161619940,1584.5765677920
-31056.4198998329,1585.0046541367
-31057.3236376718,1585.4327404814
-31058.2273755107,1585.8608268262
-31059.1311133496,1586.2889131709
-31060.0348511885,1586.7169995157
-31060.9385890274,1587.1450858604
-31061.8423268663,1587.5731722051
-31062.7460647052,1588.0012585499
-31063.6498025441,1588.4293448946
-31064.5535403830,1588.8574312394
-31065.4572782219,1589.2855175841
-31066.3610160607,1589.7136039288
-31067.2647538996,1590.1416902736
-31068.1684917385,1590.5697766183
-31069.0722295774,1590.9978629630
-31069.9759674163,1591.4259493078
-31070.8797052552,1591.8540356525
-31071.7834430941,1592.2821219973
-31072.6871809330,1592.7102083420
-31073.5909187719,1593.1382946867
-31074.4946566108,1593.5663810315
-31075.3983944497,1593.9944673762
-31076.3021322886,1594.4225537210
-31077.2058701275,1594.8506400657
-31078.1096079664,1595.2787264104
-31079.0133458053,1595.7068127552
-31079.9170836442,1596.1348990999
-31080.8208214830,1596.5629854447
-31081.7245593219,1596.9910717894
-31082.6282971608,1597.4191581341
-31083.5320349997,1597.8472444789
-31084.4357728386,1598.2753308236
-31085.3395106775,1598.7034171684
-31086.2432485164,1599.1315035131
-31087.1469863553,1599.5595898578
-31088.0507241942,1599.9876762026
-31088.9544620331,1600.4157625473
-31089.8581998720,1600.8438488920
-31090.7619377109,1601.2719352368
-31091.6656755498,1601.7000215815
-31092.5694133887,1602.1281079263
-31093.4731512276,1602.5561942710
-31094.3323874577,1603.0649849781
-31095.1767168779,1603.6008094178
-31096.0210462981,1604.1366338576
-31096.8653757182,1604.6724582973
-31097.7097051384,1605.2082827370
-31098.5540345586,1605.7441071768
-31099.3983639788,1606.2799316165
-31100.2426933990,1606.8157560562
-31101.0870228192,1607.3515804960
-31101.9313522393,1607.8874049357
-31102.7756816595,1608.4232293754
-31103.6200110797,1608.9590538152
-31104.4643404999,1609.4948782549
-31105.3086699201,1610.0307026946
-31106.1529993403,1610.5665271344
-31106.9973287604,1611.1023515741
-31107.8416581806,1611.6381760138
-31108.6859876008,1612.1740004535
-31109.5303170210,1612.7098248933
-31110.3746464412,1613.2456493330
-31111.2189758614,1613.7814737727
-31112.0633052815,1614.3172982125
-31112.9076347017,1614.8531226522
-31113.7519641219,1615.3889470919
-31114.5962935421,1615.9247715317
-31115.4406229623,1616.4605959714
-31116.2849523825,1616.9964204111
-31117.1292818026,1617.5322448509
-31117.9736112228,1618.0680692906
-31118.8179406430,1618.6038937303
-31119.6622700632,1619.1397181701
-31120.5065994834,1619.6755426098
-31121.3509289035,1620.2113670495
-31122.1952583237,1620.7471914893
-31123.0395877439,1621.2830159290
-31123.8839171641,1621.8188403687
-31124.7282465843,1622.3546648084
-31125.5725760045,1622.8904892482
-31126.4169054246,1623.4263136879
-31127.2612348448,1623.9621381276
-31128.1055642650,1624.4979625674
-31128.9498936852,1625.0337870071
-31129.7942231054,1625.5696114468
-31130.6385525256,1626.1054358866
-31131.4828819457,1626.6412603263
-31132.3272113659,1627.1770847660
-31133.1715407861,1627.7129092058
-31134.0158702063,1628.2487336455
-31134.8601996265,1628.7845580852
-31135.7045290467,1629.3203825250
-31136.5488584668,1629.8562069647
-31137.3931878870,1630.3920314044
-31138.2375173072,1630.9278558441
-31139.0818467274,1631.4636802839
-31139.9261761476,1631.9995047236
-31140.7705055678,1632.5353291633
-31141.6148349879,1633.0711536031
-31142.4591644081,1633.6069780428
-31143.3034938283,1634.1428024825
-31144.1478232485,1634.6786269223
-31144.9921526687,1635.2144513620
-31145.8364820889,1635.7502758017
-31146.6808115090,1636.2861002415
-31147.5251409292,1636.8219246812
-31148.3694703494,1637.3577491209
-31149.2137997696,1637.8935735607
-31150.0581291898,1638.4293980004
-31150.9024586100,1638.9652224401
-31151.7467880301,1639.5010468799
-31152.5911174503,1640.0368713196
-31153.4354468705,1640.5726957593
-31154.2797762907,1641.1085201990
-31155.1241057109,1641.6443446388
-31155.9684351310,1642.1801690785
-31156.8127645512,1642.7159935182
-31157.6570939714,1643.2518179580
-31158.5014233916,1643.7876423977
-31159.3457528118,1644.3234668374
-31160.1900822320,1644.8592912772
-31161.0344116521,1645.3951157169
-31161.8787410723,1645.9309401566
-31162.7168827616,1646.4760887389
