x,y
-30171.0825732361,129.8992903361
-30171.6732309810,130.7062125309
-30172.2638887259,131.5131347256
-30172.8545464707,132.3200569204
-30173.4452042156,133.1269791152
-30174.0358619605,133.9339013099
-30174.6265197054,134.7408235047
-30175.2171774502,135.5477456995
-30175.8078351951,136.3546678943
-30176.3984929400,137.1615900890
-30176.9891506849,137.9685122838
-30177.5798084297,138.7754344786
-30178.1704661746,139.5823566734
-30178.7611239195,140.3892788681
-30179.3517816644,141.1962010629
-30179.9424394093,142.0031232577
-30180.5330971541,142.8100454524
-30181.1237548990,143.6169676472
-30181.7144126439,144.4238898420
-30182.3050703888,145.2308120368
-30182.8957281336,146.0377342315
-30183.4863858785,146.8446564263
-30184.0770436234,147.6515786211
-30184.6677013683,148.4585008159
-30185.2583591132,149.2654230106
-30185.8490168580,150.0723452054
-30186.4396746029,150.8792674002
-30187.0303323478,151.6861895949
-30187.6209900927,152.4931117897
-30188.2116478375,153.3000339845
-30188.8023055824,154.1069561793
-30189.3929633273,154.9138783740
-30189.9836210722,155.7208005688
-30190.5742788170,156.5277227636
-30191.1649365619,157.3346449584
-30191.7555943068,158.1415671531
-30192.3462520517,158.9484893479
-30192.9369097965,159.7554115427
-30193.5275675414,160.5623337374
-30194.1182252863,161.3692559322
-30194.7088830312,162.1761781270
-30195.2995407761,162.9831003218
-30195.8901985209,163.7900225165
-30196.4808562658,164.5969447113
-30197.0715140107,165.4038669061
-30197.6621717556,166.2107891009
-30198.2528295004,167.0177112956
-30198.8434872453,167.8246334904
-30199.4341449902,168.6315556852
-30200.0248027351,169.4384778799
-30200.6154604800,170.2454000747
-30201.2061182248,171.0523222695
-30201.7967759697,171.8592444643
-30202.3874337146,172.6661666590
-30202.9780914595,173.4730888538
-30203.5687492043,174.2800110486
-30204.1594069492,175.0869332434
-30204.7500646941,175.8938554381
-30205.3407224390,176.7007776329
-30205.9313801838,177.5076998277
-30206.5220379287,178.3146220224
-30207.1126956736,179.1215442172
-30207.7033534185,179.9284664120
-30208.2940111634,180.7353886068
-30208.8846689082,181.5423108015
-30209.4753266531,182.3492329963
-30210.0659843980,183.1561551911
-30210.6566421429,183.9630773859
-30211.2472998877,184.7699995806
-30211.8379576326,185.5769217754
-30212.4286153775,186.3838439702
-30213.0192731224,187.1907661649
-30213.6099308672,187.9976883597
-30214.2005886121,188.8046105545
