x,y
777.4642248232,-38233.9399415018
777.5292812464,-38232.9420599147
777.5943376695,-38231.9441783276
777.6593940926,-38230.9462967406
777.7244505158,-38229.9484151535
777.7895069389,-38228.9505335664
777.8545633620,-38227.9526519793
777.9196197852,-38226.9547703923
777.9846762083,-38225.9568888052
778.0497326314,-38224.9590072181
778.1147890546,-38223.9611256311
778.1798454777,-38222.9632440440
778.2449019008,-38221.9653624569
778.3099583240,-38220.9674808699
778.3750147471,-38219.9695992828
778.4400711702,-38218.9717176957
778.5051275934,-38217.9738361087
778.5701840165,-38216.9759545216
778.6352404396,-38215.9780729345
778.7002968627,-38214.9801913475
778.7653532859,-38213.9823097604
778.8304097090,-38212.9844281733
778.8954661321,-38211.9865465863
778.9605225553,-38210.9886649992
779.0255789784,-38209.9907834121
779.0906354015,-38208.9929018251
779.1556918247,-38207.9950202380
779.2207482478,-38206.9971386509
779.2858046709,-38205.9992570639
779.3508610941,-38205.0013754768
779.4159175172,-38204.0034938897
779.4809739403,-38203.0056123026
779.5460303635,-38202.0077307156
779.6110867866,-38201.0098491285
779.6761432097,-38200.0119675414
779.7411996329,-38199.0140859544
779.8062560560,-38198.0162043673
779.8713124791,-38197.0183227802
779.9363689022,-38196.0204411932
780.0014253254,-38195.0225596061
780.0664817485,-38194.0246780190
780.1315381716,-38193.0267964320
780.1965945948,-38192.0289148449
780.2616510179,-38191.0310332578
780.3267074410,-38190.0331516708
780.3917638642,-38189.0352700837
780.4568202873,-38188.0373884966
780.5218767104,-38187.0395069096
780.5869331336,-38186.0416253225
780.6519895567,-38185.0437437354
780.7170459798,-38184.0458621484
780.7821024030,-38183.0479805613
780.8471588261,-38182.0500989742
780.9122152492,-38181.0522173872
780.9772716724,-38180.0543358001
781.0423280955,-38179.0564542130
781.1073845186,-38178.0585726259
781.1724409418,-38177.0606910389
781.2374973649,-38176.0628094518
781.3025537880,-38175.0649278647
781.3676102111,-38174.0670462777
781.4326666343,-38173.0691646906
781.4977230574,-38172.0712831035
781.5627794805,-38171.0734015165
781.6278359037,-38170.0755199294
781.6928923268,-38169.0776383423
781.7579487499,-38168.0797567553
781.8230051731,-38167.0818751682
781.8880615962,-38166.0839935811
781.9531180193,-38165.0861119941
782.0181744425,-38164.0882304070
782.0832308656,-38163.0903488199
782.1482872887,-38162.0924672329
782.2133437119,-38161.0945856458
782.2784001350,-38160.0967040587
782.3434565581,-38159.0988224717
782.4085129813,-38158.1009408846
782.4735694044,-38157.1030592975
782.5386258275,-38156.1051777105
782.6036822506,-38155.1072961234
782.6687386738,-38154.1094145363
782.7337950969,-38153.1115329492
782.7988515200,-38152.1136513622
782.8639079432,-38151.1157697751
782.9289643663,-38150.1178881880
782.9940207894,-38149.1200066010
783.0590772126,-38148.1221250139
783.1241336357,-38147.1242434268
783.1891900588,-38146.1263618398
783.2542464820,-38145.1284802527
783.3193029051,-38144.1305986656
783.3843593282,-38143.1327170786
783.4494157514,-38142.1348354915
783.5144721745,-38141.1369539044
783.5795285976,-38140.1390723174
783.6445850208,-38139.1411907303
783.7096414439,-38138.1433091432
783.7746978670,-38137.1454275562
783.8397542902,-38136.1475459691
783.9048107133,-38135.1496643820
783.9698671364,-38134.1517827950
784.0349235595,-38133.1539012079
784.0999799827,-38132.1560196208
784.1650364058,-38131.1581380338
784.2300928289,-38130.1602564467
784.2951492521,-38129.1623748596
784.3602056752,-38128.1644932725
784.4252620983,-38127.1666116855
784.4903185215,-38126.1687300984
784.5553749446,-38125.1708485113
784.6204313677,-38124.1729669243
784.6854877909,-38123.1750853372
784.7505442140,-38122.1772037501
784.8156006371,-38121.1793221631
784.8806570603,-38120.1814405760
784.9457134834,-38119.1835589889
785.0107699065,-38118.1856774019
785.0758263297,-38117.1877958148
785.1408827528,-38116.1899142277
785.2059391759,-38115.1920326407
785.2709955990,-38114.1941510536
785.3360520222,-38113.1962694665
785.4011084453,-38112.1983878795
785.4661648684,-38111.2005062924
785.5312212916,-38110.2026247053
785.5962777147,-38109.2047431183
785.6613341378,-38108.2068615312
785.7263905610,-38107.2089799441
785.7914469841,-38106.2110983571
785.8565034072,-38105.2132167700
785.9215598304,-38104.2153351829
785.9866162535,-38103.2174535959
786.0516726766,-38102.2195720088
786.1167290998,-38101.2216904217
786.1817855229,-38100.2238088346
786.2468419460,-38099.2259272476
786.3118983692,-38098.2280456605
786.3769547923,-38097.2301640734
786.4420112154,-38096.2322824864
786.5070676385,-38095.2344008993
786.5721240617,-38094.2365193122
786.6371804848,-38093.2386377252
786.7022369079,-38092.2407561381
786.7672933311,-38091.2428745510
786.8323497542,-38090.2449929640
786.8974061773,-38089.2471113769
786.9624626005,-38088.2492297898
787.0275190236,-38087.2513482028
787.0925754467,-38086.2534666157
787.1576318699,-38085.2555850286
787.2226882930,-38084.2577034416
787.2877447161,-38083.2598218545
787.3528011393,-38082.2619402674
787.4178575624,-38081.2640586804
787.4829139855,-38080.2661770933
787.5479704087,-38079.2682955062
787.6130268318,-38078.2704139192
787.6780832549,-38077.2725323321
787.7431396781,-38076.2746507450
787.8081961012,-38075.2767691579
787.8732525243,-38074.2788875709
787.9383089474,-38073.2810059838
788.0033653706,-38072.2831243967
788.0684217937,-38071.2852428097
788.1334782168,-38070.2873612226
788.1985346400,-38069.2894796355
788.2635910631,-38068.2915980485
788.3286474862,-38067.2937164614
788.3937039094,-38066.2958348743
788.4587603325,-38065.2979532873
788.5238167556,-38064.3000717002
788.5888731788,-38063.3021901131
788.6539296019,-38062.3043085261
788.7189860250,-38061.3064269390
788.7840424482,-38060.3085453519
788.8490988713,-38059.3106637649
788.9141552944,-38058.3127821778
788.9792117176,-38057.3149005907
