x,y
1420.1105967026,-37654.9515829418
1420.2312994893,-37650.3045256523
1420.3520022761,-37645.6574683628
1420.4727050628,-37641.0104110733
1420.5934078496,-37636.3633537837
1420.7141106363,-37631.7162964942
1420.8348134230,-37627.0692392047
1420.9555162098,-37622.4221819152
1421.0762189965,-37617.7751246257
1421.1969217833,-37613.1280673362
1421.3176245700,-37608.4810100467
1421.4383273568,-37603.8339527572
1421.5590301435,-37599.1868954676
1421.6797329302,-37594.5398381781
1421.8004357170,-37589.8927808886
1421.9211385037,-37585.2457235991
1422.0418412905,-37580.5986663096
1422.1625440772,-37575.9516090201
1422.2832468639,-37571.3045517306
1422.4039496507,-37566.6574944411
1422.5246524374,-37562.0104371515
1422.6453552242,-37557.3633798620
1422.7660580109,-37552.7163225725
1422.8867607976,-37548.0692652830
1423.0074635844,-37543.4222079935
1423.1281663711,-37538.7751507040
1423.2488691579,-37534.1280934145
1423.3695719446,-37529.4810361250
1423.4902747313,-37524.8339788354
1423.6109775181,-37520.1869215459
1423.7316803048,-37515.5398642564
1423.8523830916,-37510.8928069669
1423.9730858783,-37506.2457496774
1424.0937886650,-37501.5986923879
1424.2144914518,-37496.9516350984
1424.3351942385,-37492.3045778089
1424.4558970253,-37487.6575205193
1424.5765998120,-37483.0104632298
1424.6973025987,-37478.3634059403
1424.8180053855,-37473.7163486508
1424.9387081722,-37469.0692913613
1425.0594109590,-37464.4222340718
1425.1801137457,-37459.7751767823
1425.3008165325,-37455.1281194928
1425.4215193192,-37450.4810622032
1425.5422221059,-37445.8340049137
1425.6629248927,-37441.1869476242
1425.7836276794,-37436.5398903347
1425.9043304662,-37431.8928330452
1426.0250332529,-37427.2457757557
1426.1457360396,-37422.5987184662
1426.2664388264,-37417.9516611767
1426.5681957932,-37413.0631983137
1426.8699527601,-37408.1747354507
1427.1717097269,-37403.2862725877
1427.4734666938,-37398.3978097247
1427.7752236606,-37393.5093468617
1428.0769806275,-37388.6208839987
1428.3787375943,-37383.7324211357
1428.6804945612,-37378.8439582727
1428.9822515280,-37373.9554954097
1429.2840084949,-37369.0670325467
1429.5857654617,-37364.1785696837
1429.8875224286,-37359.2901068207
1430.1892793954,-37354.4016439577
1430.4910363623,-37349.5131810948
1430.7927933291,-37344.6247182318
1431.0945502960,-37339.7362553688
1431.3963072628,-37334.8477925058
1431.6980642297,-37329.9593296428
1431.9998211966,-37325.0708667798
1432.3015781634,-37320.1824039168
1432.6033351303,-37315.2939410538
1432.9050920971,-37310.4054781908
1433.2068490640,-37305.5170153278
1433.5086060308,-37300.6285524648
1433.8103629977,-37295.7400896018
1434.1121199645,-37290.8516267388
1434.4138769314,-37285.9631638758
1434.7156338982,-37281.0747010129
1435.0173908651,-37276.1862381499
1435.3191478319,-37271.2977752869
1435.6209047988,-37266.4093124239
1435.9226617656,-37261.5208495609
1436.2244187325,-37256.6323866979
1436.5261756993,-37251.7439238349
1436.8279326662,-37246.8554609719
1437.1296896330,-37241.9669981089
1437.4314465999,-37237.0785352459
1437.7332035667,-37232.1900723829
1438.0349605336,-37227.3016095199
1438.3367175004,-37222.4131466569
1438.6384744673,-37217.5246837939
1438.9402314341,-37212.6362209309
1439.2419884010,-37207.7477580680
1439.5437453678,-37202.8592952050
1439.8455023347,-37197.9708323420
1440.1472593015,-37193.0823694790
1440.4490162684,-37188.1939066160
1440.7507732352,-37183.3054437530
1441.0525302021,-37178.4169808900
1441.3542871689,-37173.5285180270
1441.6560441358,-37168.6400551640
1441.8974497093,-37163.7515923010
1442.1388552828,-37158.8631294380
1442.3802608562,-37153.9746665750
1442.6216664297,-37149.0862037120
1442.8630720032,-37144.1977408490
1443.1044775767,-37139.3092779860
1443.3458831502,-37134.4208151231
