x,y
-43505.6836902898,-3343.9383245755
-43506.6836671521,-3343.9451271392
-43507.6836440144,-3343.9519297029
-43508.6836208767,-3343.9587322666
-43509.6835977390,-3343.9655348302
-43510.6835746013,-3343.9723373939
-43511.6835514635,-3343.9791399576
-43512.6835283258,-3343.9859425213
-43513.6835051881,-3343.9927450850
-43514.6834820504,-3343.9995476487
-43515.6834589127,-3344.0063502124
-43516.6834357750,-3344.0131527761
-43517.6834126373,-3344.0199553398
-43518.6833894996,-3344.0267579034
-43519.6833663619,-3344.0335604671
-43520.6833432242,-3344.0403630308
-43521.6833200865,-3344.0471655945
-43522.6832969488,-3344.0539681582
-43523.6832738111,-3344.0607707219
-43524.6832506734,-3344.0675732856
-43525.6832275357,-3344.0743758493
-43526.6832043980,-3344.0811784130
-43527.6831812603,-3344.0879809766
-43528.6831581226,-3344.0947835403
-43529.6831349849,-3344.1015861040
-43530.6831118472,-3344.1083886677
-43531.6830887095,-3344.1151912314
-43532.6830655718,-3344.1219937951
-43533.6830424341,-3344.1287963588
-43534.6830192964,-3344.1355989225
-43535.6829961587,-3344.1424014862
-43536.6829730209,-3344.1492040498
-43537.6815163924,-3344.1719810714
-43538.6667281473,-3344.3433222461
-43539.6519399021,-3344.5146634209
-43540.6371516569,-3344.6860045956
-43541.6223634117,-3344.8573457704
-43542.6049347416,-3345.0368558677
-43543.5040440123,-3345.4745801179
-43544.4031532831,-3345.9123043681
-43545.3022625538,-3346.3500286184
-43546.2013718246,-3346.7877528686
-43547.1004810953,-3347.2254771188
-43547.9995903661,-3347.6632013691
-43548.8986996369,-3348.1009256193
-43549.7978089076,-3348.5386498695
-43550.6969181784,-3348.9763741198
-43551.5960274491,-3349.4140983700
-43552.4951367199,-3349.8518226202
-43553.3942459906,-3350.2895468705
-43554.2933552614,-3350.7272711207
-43555.1924645321,-3351.1649953710
-43556.0915738029,-3351.6027196212
-43556.9906830736,-3352.0404438714
-43557.8897923444,-3352.4781681217
-43558.7889016151,-3352.9158923719
-43559.5562507104,-3353.5384782332
-43560.2633574916,-3354.2455850144
-43560.9704642728,-3354.9526917956
-43561.6775710539,-3355.6597985768
-43562.3846778351,-3356.3669053580
-43563.0917846163,-3357.0740121392
-43563.7988913975,-3357.7811189204
-43564.5059981787,-3358.4882257016
-43565.2131049599,-3359.1953324827
-43565.9202117411,-3359.9024392639
-43566.6273185222,-3360.6095460451
-43567.3344253034,-3361.3166528263
-43568.0415320846,-3362.0237596075
-43568.7486388658,-3362.7308663887
-43569.4557456470,-3363.4379731699
-43570.1573338373,-3364.1495386928
-43570.7001112310,-3364.9894152914
-43571.2428886246,-3365.8292918901
-43571.7856660183,-3366.6691684887
-43572.3284434120,-3367.5090450873
-43572.8712208056,-3368.3489216859
-43573.4139981993,-3369.1887982846
