x,y
-36371.8599813609,-56.2799344761
-36372.8408240456,-56.4747359849
-36373.8216667303,-56.6695374937
-36374.8025094150,-56.8643390025
-36375.7833520998,-57.0591405113
-36376.7641947845,-57.2539420201
-36377.7450374692,-57.4487435289
-36378.7258801539,-57.6435450378
-36379.7067228386,-57.8383465466
-36380.6875655233,-58.0331480554
-36381.6684082081,-58.2279495642
-36382.6492508928,-58.4227510730
-36383.6300935775,-58.6175525818
-36384.6109362622,-58.8123540906
-36385.5917789469,-59.0071555994
-36386.5726216317,-59.2019571083
-36387.5534643164,-59.3967586171
-36388.5343070011,-59.5915601259
-36389.5151496858,-59.7863616347
-36390.4959923705,-59.9811631435
-36391.4768350552,-60.1759646523
-36392.4576777400,-60.3707661611
-36393.4385204247,-60.5655676699
-36394.4193631094,-60.7603691787
-36395.4002057941,-60.9551706876
-36396.3810484788,-61.1499721964
-36397.3618911636,-61.3447737052
-36398.3427338483,-61.5395752140
-36399.3235765330,-61.7343767228
-36400.3044192177,-61.9291782316
-36401.2852619024,-62.1239797404
-36402.2661045871,-62.3187812492
-36403.2469472719,-62.5135827580
-36404.2277899566,-62.7083842669
-36405.2086326413,-62.9031857757
-36406.1894753260,-63.0979872845
-36407.1703180107,-63.2927887933
-36408.1511606954,-63.4875903021
-36409.1320033802,-63.6823918109
-36410.1128460649,-63.8771933197
-36411.0936887496,-64.0719948285
-36412.0745314343,-64.2667963374
-36413.0553741190,-64.4615978462
-36414.0362168038,-64.6563993550
-36415.0170594885,-64.8512008638
-36415.9979021732,-65.0460023726
-36416.9787448579,-65.2408038814
-36417.9595875426,-65.4356053902
-36418.9404302274,-65.6304068990
-36419.9212729121,-65.8252084078
-36420.9021155968,-66.0200099167
-36421.8829582815,-66.2148114255
-36422.8638009662,-66.4096129343
-36423.8446436509,-66.6044144431
-36424.8254863357,-66.7992159519
-36425.8063290204,-66.9940174607
-36426.7871717051,-67.1888189695
-36427.7680143898,-67.3836204783
-36428.7488570745,-67.5784219871
-36429.7296997592,-67.7732234960
-36430.7105424440,-67.9680250048
-36431.6913851287,-68.1628265136
-36432.6722278134,-68.3576280224
-36433.6530704981,-68.5524295312
-36434.6339131828,-68.7472310400
-36435.6147558676,-68.9420325488
-36436.5955985523,-69.1368340576
-36437.5764412370,-69.3316355665
-36438.5572839217,-69.5264370753
-36439.5381266064,-69.7212385841
-36440.5189692911,-69.9160400929
-36441.4998119759,-70.1108416017
-36442.4813286822,-70.3020195222
-36443.4666141360,-70.4729363867
-36444.4518995897,-70.6438532511
-36445.4371850435,-70.8147701155
-36446.4224704973,-70.9856869800
-36447.4077559511,-71.1566038444
-36448.3930414049,-71.3275207088
-36449.3783268587,-71.4984375733
-36450.3636123125,-71.6693544377
-36451.3488977663,-71.8402713021
-36452.3341832201,-72.0111881666
-36453.3194686739,-72.1821050310
-36454.3047541277,-72.3530218954
-36455.2900395815,-72.5239387599
-36456.2753250352,-72.6948556243
-36457.2606104890,-72.8657724887
-36458.2458959428,-73.0366893532
-36459.2311813966,-73.2076062176
