x,y
-36372.2091898012,-59.0204161534
-36373.5580460118,-59.3316906635
-36374.9069022223,-59.6429651737
-36376.2557584328,-59.9542396838
-36377.6046146433,-60.2655141939
-36378.9534708539,-60.5767887040
-36380.3023270644,-60.8880632142
-36381.6511832749,-61.1993377243
-36383.0000394854,-61.5106122344
-36384.3488956960,-61.8218867445
-36385.6977519065,-62.1331612546
-36387.0466081170,-62.4444357648
-36388.3954643275,-62.7557102749
-36389.7443205381,-63.0669847850
-36391.0931767486,-63.3782592951
-36392.4420329591,-63.6895338052
-36393.7908891696,-64.0008083154
-36395.1397453802,-64.3120828255
-36396.4886015907,-64.6233573356
-36397.8374578012,-64.9346318457
-36399.1863140117,-65.2459063559
-36400.5351702223,-65.5571808660
-36401.8840264328,-65.8684553761
-36403.2328826433,-66.1797298862
-36404.5817388539,-66.4910043963
-36405.9305950644,-66.8022789065
-36407.2794512749,-67.1135534166
-36408.6283074854,-67.4248279267
-36409.9771636960,-67.7361024368
-36411.3260199065,-68.0473769469
-36412.6748761170,-68.3586514571
-36414.0237323275,-68.6699259672
-36415.3725885381,-68.9812004773
-36416.7214447486,-69.2924749874
-36418.0703009591,-69.6037494976
-36419.4191571696,-69.9150240077
-36420.7680133802,-70.2262985178
-36422.1168695907,-70.5375730279
-36423.4657258012,-70.8488475380
-36424.8145820117,-71.1601220482
-36426.1634382223,-71.4713965583
-36427.5122944328,-71.7826710684
-36428.8611506433,-72.0939455785
-36430.2100068539,-72.4052200886
-36431.5588630644,-72.7164945988
-36432.9077192749,-73.0277691089
-36434.2565754854,-73.3390436190
-36435.6054316960,-73.6503181291
-36436.9542879065,-73.9615926393
-36438.3031441170,-74.2728671494
-36439.6520003275,-74.5841416595
-36441.0008565381,-74.8954161696
-36442.0903173235,-75.0510534247
-36443.1797781089,-75.2066906797
-36444.2692388943,-75.3623279348
-36445.3586996798,-75.5179651899
-36446.4481604652,-75.6736024449
-36447.5376212506,-75.8292397000
-36448.6270820360,-75.9848769550
-36449.7165428215,-76.1405142101
-36450.8060036069,-76.2961514652
-36451.8954643923,-76.4517887202
-36452.9849251777,-76.6074259753
-36454.0743859632,-76.7630632303
-36455.1638467486,-76.9187004854
-36456.2533075340,-77.0743377405
-36457.3427683194,-77.2299749955
-36458.4322291049,-77.3856122506
-36459.5216898903,-77.5412495056
-36460.6111506757,-77.6968867607
-36461.7006114611,-77.8525240158
-36462.7900722466,-78.0081612708
-36463.8795330320,-78.1637985259
-36464.9689938174,-78.3194357810
-36466.0584546028,-78.4750730360
-36467.1479153883,-78.6307102911
-36468.2373761737,-78.7863475461
-36469.3268369591,-78.9419848012
-36470.4162977445,-79.0976220563
-36471.5057585300,-79.2532593113
-36472.5952193154,-79.4088965664
-36473.6846801008,-79.5645338214
-36474.7741408862,-79.7201710765
-36475.8636016717,-79.8758083316
-36476.9530624571,-80.0314455866
-36478.0425232425,-80.1870828417
-36479.1319840279,-80.3427200967
-36480.2214448134,-80.4983573518
-36481.3109055988,-80.6539946069
-36482.4003663842,-80.8096318619
-36483.4898271696,-80.9652691170
-36484.5792879551,-81.1209063720
-36485.6687487405,-81.2765436271
-36486.7582095259,-81.4321808822
-36487.8476703113,-81.5878181372
-36488.9371310968,-81.7434553923
-36490.0265918822,-81.8990926473
-36491.1160526676,-82.0547299024
-36492.2055134530,-82.2103671575
-36493.2949742385,-82.3660044125
-36494.3844350239,-82.5216416676
-36495.4738958093,-82.6772789227
-36496.5633565947,-82.8329161777
-36497.9900314328,-83.0663720603
-36499.4167062708,-83.2998279429
-36500.8433811089,-83.5332838255
-36502.2700559470,-83.7667397081
-36503.6967307850,-84.0001955907
-36505.1234056231,-84.2336514733
-36506.5500804611,-84.4671073558
-36507.9767552992,-84.7005632384
-36509.4034301372,-84.9340191210
-36510.8301049753,-85.1674750036
-36512.2567798133,-85.4009308862
-36513.6834546514,-85.6343867688
-36515.1101294895,-85.8678426514
-36516.5368043275,-86.1012985340
-36517.9634791656,-86.3347544166
-36519.3901540036,-86.5682102992
-36520.8168288417,-86.8016661818
-36522.2435036798,-87.0351220644
-36523.6701785178,-87.2685779469
-36525.0968533559,-87.5020338295
-36526.5235281939,-87.7354897121
-36527.9502030320,-87.9689455947
-36529.3768778700,-88.2024014773
-36530.8035527081,-88.4358573599
-36532.2302275461,-88.6693132425
-36533.6569023842,-88.9027691251
-36535.0835772223,-89.1362250077
-36536.5102520603,-89.3696808903
-36537.9369268984,-89.6031367729
-36539.3636017364,-89.8365926554
-36540.7902765745,-90.0700485380
-36542.2169514125,-90.3035044206
-36543.6436262506,-90.5369603032
-36545.0703010887,-90.7704161858
-36546.4969759267,-91.0038720684
-36547.9236507648,-91.2373279510
-36549.3503256028,-91.4707838336
-36550.7770004409,-91.7042397162
-36552.2036752789,-91.9376955988
-36553.6303501170,-92.1711514814
-36555.0570249550,-92.4046073639
-36556.4836997931,-92.6380632465
-36557.9103746312,-92.8715191291
-36559.3370494692,-93.1049750117
-36560.7637243073,-93.3384308943
-36562.1903991453,-93.5718867769
-36563.6170739834,-93.8053426595
-36565.0437488214,-94.0387985421
-36566.4704236595,-94.2722544247
-36567.8970984976,-94.5057103073
-36569.3237733356,-94.7391661899
-36570.8801458862,-94.7132266473
-36572.4365184368,-94.6872871048
-36573.9928909874,-94.6613475623
-36575.5492635380,-94.6354080198
-36577.1056360886,-94.6094684773
-36578.6620086393,-94.5835289348
-36580.2183811899,-94.5575893923
-36581.7747537405,-94.5316498498
-36583.3311262911,-94.5057103073
-36584.8874988417,-94.4797707648
-36586.4438713923,-94.4538312222
-36588.0002439429,-94.4278916797
-36589.5566164935,-94.4019521372
-36591.1129890441,-94.3760125947
-36592.6693615947,-94.3500730522
-36594.2257341453,-94.3241335097
-36595.7821066959,-94.2981939672
