x,y
-33642.2988788123,1257.0516305343
-33642.5103591812,1256.0742482890
-33642.7218395501,1255.0968660436
-33642.9333199190,1254.1194837982
-33643.1448002878,1253.1421015528
-33643.3562806567,1252.1647193075
-33643.5677610256,1251.1873370621
-33643.7792413945,1250.2099548167
-33643.9907217634,1249.2325725713
-33644.2022021323,1248.2551903260
-33644.4136825011,1247.2778080806
-33644.6251628700,1246.3004258352
-33644.8366432389,1245.3230435898
-33645.0481236078,1244.3456613444
-33645.2596039767,1243.3682790991
-33645.4710843456,1242.3908968537
-33645.6825647144,1241.4135146083
-33645.8940450833,1240.4361323629
-33646.1055254522,1239.4587501176
-33646.3170058211,1238.4813678722
-33646.5284861900,1237.5039856268
-33646.7399665589,1236.5266033814
-33646.9514469277,1235.5492211361
-33647.1629272966,1234.5718388907
-33647.3744076655,1233.5944566453
-33647.5858880344,1232.6170743999
-33647.7973684033,1231.6396921546
-33648.0088487722,1230.6623099092
-33648.2203291410,1229.6849276638
-33648.4318095099,1228.7075454184
-33648.6432898788,1227.7301631730
-33648.8547702477,1226.7527809277
-33649.0662506166,1225.7753986823
-33649.2777309855,1224.7980164369
-33649.4892113543,1223.8206341915
-33649.7006917232,1222.8432519462
-33649.9121720921,1221.8658697008
-33650.1236524610,1220.8884874554
-33650.3351328299,1219.9111052100
-33650.5466131987,1218.9337229647
-33650.7580935676,1217.9563407193
-33650.9695739365,1216.9789584739
-33651.1810543054,1216.0015762285
-33651.3925346743,1215.0241939832
-33651.6040150432,1214.0468117378
-33651.8154954120,1213.0694294924
-33652.0269757809,1212.0920472470
-33652.2384561498,1211.1146650016
-33652.4499365187,1210.1372827563
-33652.6614168876,1209.1599005109
-33652.8728972565,1208.1825182655
-33653.0843776253,1207.2051360201
-33653.2958579942,1206.2277537748
-33653.5073383631,1205.2503715294
-33653.7188187320,1204.2729892840
-33653.9302991009,1203.2956070386
-33654.1417794698,1202.3182247933
-33654.3532598386,1201.3408425479
-33654.5835500613,1200.3689692560
-33654.9327592944,1199.4319244804
-33655.2819685276,1198.4948797048
-33655.6311777607,1197.5578349292
-33655.9803869939,1196.6207901536
-33656.3295962270,1195.6837453780
-33656.6788054602,1194.7467006024
-33657.0280146933,1193.8096558268
-33657.3772239264,1192.8726110512
-33657.7264331596,1191.9355662756
-33658.0756423927,1190.9985215000
-33658.4248516259,1190.0614767244
-33658.7740608590,1189.1244319487
-33659.1232700922,1188.1873871731
-33659.4724793253,1187.2503423975
-33659.8216885585,1186.3132976219
-33660.1708977916,1185.3762528463
-33660.5201070247,1184.4392080707
-33660.8693162579,1183.5021632951
-33661.2185254910,1182.5651185195
-33661.5677347242,1181.6280737439
-33661.9169439573,1180.6910289683
-33662.2661531905,1179.7539841927
-33662.6153624236,1178.8169394171
-33662.9645716567,1177.8798946415
-33663.3137808899,1176.9428498659
-33663.6629901230,1176.0058050903
-33664.0121993562,1175.0687603147
-33664.3614085893,1174.1317155391
-33664.7106178225,1173.1946707635
-33665.0598270556,1172.2576259879
-33665.4090362888,1171.3205812123
-33665.7582455219,1170.3835364367
-33666.1074547550,1169.4464916611
-33666.4566639882,1168.5094468855
-33666.8058732213,1167.5724021099
-33667.1550824545,1166.6353573343
-33667.5042916876,1165.6983125586
-33667.8535009208,1164.7612677830
-33668.2027101539,1163.8242230074
-33668.5519193871,1162.8871782318
-33668.9011286202,1161.9501334562
-33669.2503378533,1161.0130886806
-33669.5995470865,1160.0760439050
-33669.9487563196,1159.1389991294
-33670.2979655528,1158.2019543538
-33670.6471747859,1157.2649095782
-33670.9963840191,1156.3278648026
-33671.3455932522,1155.3908200270
-33671.6948024854,1154.4537752514
-33672.0440117185,1153.5167304758
-33672.3932209516,1152.5796857002
-33672.7424301848,1151.6426409246
-33673.0916394179,1150.7055961490
-33673.4408486511,1149.7685513734
-33673.7900578842,1148.8315065978
-33674.1392671174,1147.8944618222
-33674.5538629817,1146.9910369687
-33675.1128082648,1146.1618324278
-33675.6717535479,1145.3326278870
-33676.2306988310,1144.5034233462
-33676.7896441140,1143.6742188054
-33677.3485893971,1142.8450142645
-33677.9075346802,1142.0158097237
-33678.4664799633,1141.1866051829
-33679.0254252463,1140.3574006421
-33679.5843705294,1139.5281961012
-33680.1433158125,1138.6989915604
-33680.7022610956,1137.8697870196
-33681.2612063786,1137.0405824788
-33681.8201516617,1136.2113779379
-33682.3790969448,1135.3821733971
-33682.9380422279,1134.5529688563
-33683.4969875109,1133.7237643154
-33684.0559327940,1132.8945597746
-33684.6148780771,1132.0653552338
-33685.1738233602,1131.2361506930
-33685.7327686432,1130.4069461521
-33686.2917139263,1129.5777416113
-33686.8506592094,1128.7485370705
-33687.4096044925,1127.9193325297
-33687.9685497755,1127.0901279888
-33688.5274950586,1126.2609234480
-33689.0864403417,1125.4317189072
-33689.6453856248,1124.6025143664
-33690.2043309078,1123.7733098255
-33690.7632761909,1122.9441052847
-33691.3222214740,1122.1149007439
-33691.8811667571,1121.2856962031
-33692.4401120401,1120.4564916622
-33692.9990573232,1119.6272871214
-33693.5580026063,1118.7980825806
-33694.1169478894,1117.9688780397
-33694.6758931725,1117.1396734989
-33695.2348384555,1116.3104689581
-33695.7937837386,1115.4812644173
-33696.3527290217,1114.6520598764
-33696.9116743048,1113.8228553356
-33697.4706195878,1112.9936507948
-33698.0295648709,1112.1644462540
-33698.5885101540,1111.3352417131
-33699.1474554371,1110.5060371723
-33699.7064007201,1109.6768326315
-33700.2653460032,1108.8476280907
-33700.8242912863,1108.0184235498
-33701.3832365694,1107.1892190090
-33701.9421818524,1106.3600144682
-33702.5011271355,1105.5308099273
-33703.0600724186,1104.7016053865
-33703.6190177017,1103.8724008457
-33704.1779629847,1103.0431963049
-33704.7369082678,1102.2139917640
-33705.2958535509,1101.3847872232
-33705.8547988340,1100.5555826824
-33706.4137441170,1099.7263781416
-33706.9726894001,1098.8971736007
-33707.5316346832,1098.0679690599
-33708.0905799663,1097.2387645191
-33708.6495252493,1096.4095599783
-33709.2084705324,1095.5803554374
-33709.7674158155,1094.7511508966
-33710.3263610986,1093.9219463558
-33710.8853063817,1093.0927418149
-33711.4442516647,1092.2635372741
-33712.0031969478,1091.4343327333
-33712.5621422309,1090.6051281925
-33713.1210875140,1089.7759236516
-33713.6800327970,1088.9467191108
-33714.2389780801,1088.1175145700
-33714.7979233632,1087.2883100292
-33715.3568686463,1086.4591054883
-33715.9158139293,1085.6299009475
-33716.4747592124,1084.8006964067
-33717.0337044955,1083.9714918659
-33717.5926497786,1083.1422873250
-33718.1515950616,1082.3130827842
-33718.7105403447,1081.4838782434
-33719.2694856278,1080.6546737025
-33719.8284309109,1079.8254691617
-33720.3873761939,1078.9962646209
-33720.9463214770,1078.1670600801
-33721.5052667601,1077.3378555392
-33722.0642120432,1076.5086509984
-33722.6231573262,1075.6794464576
-33723.1821026093,1074.8502419168
-33723.7410478924,1074.0210373759
-33724.2999931755,1073.1918328351
-33724.8589384585,1072.3626282943
-33725.4178837416,1071.5334237535
-33725.9768290247,1070.7042192126
-33726.5357743078,1069.8750146718
-33727.0947195908,1069.0458101310
-33727.6536648739,1068.2166055902
-33728.2126101570,1067.3874010493
-33728.7715554401,1066.5581965085
-33729.3305007231,1065.7289919677
-33729.8894460062,1064.8997874268
-33730.4483912893,1064.0705828860
-33731.0073365724,1063.2413783452
-33731.5662818555,1062.4121738044
-33732.1252271385,1061.5829692635
-33732.6841724216,1060.7537647227
-33733.2431177047,1059.9245601819
-33733.8020629878,1059.0953556411
-33734.3610082708,1058.2661511002
-33734.9480005143,1057.4570050075
-33735.5520408521,1056.6600512634
-33736.1560811899,1055.8630975193
-33736.7601215277,1055.0661437751
-33737.3641618655,1054.2691900310
-33737.9682022033,1053.4722362869
-33738.5722425412,1052.6752825427
-33739.1762828790,1051.8783287986
-33739.7803232168,1051.0813750545
-33740.3843635546,1050.2844213103
-33740.9884038924,1049.4874675662
-33741.5924442302,1048.6905138220
-33742.1964845681,1047.8935600779
-33742.8005249059,1047.0966063338
-33743.4045652437,1046.2996525896
-33744.0086055815,1045.5026988455
-33744.6126459193,1044.7057451014
-33745.2166862571,1043.9087913572
-33745.8207265950,1043.1118376131
-33746.4247669328,1042.3148838690
-33747.0288072706,1041.5179301248
-33747.6328476084,1040.7209763807
-33748.2368879462,1039.9240226366
-33748.8409282840,1039.1270688924
-33749.4449686219,1038.3301151483
-33750.0490089597,1037.5331614042
-33750.6530492975,1036.7362076600
-33751.2570896353,1035.9392539159
-33751.8611299731,1035.1423001718
-33752.4651703109,1034.3453464276
-33753.0692106488,1033.5483926835
-33753.6732509866,1032.7514389394
-33754.2772913244,1031.9544851952
-33754.8813316622,1031.1575314511
-33755.4853720000,1030.3605777069
-33756.0894123378,1029.5636239628
-33756.6934526757,1028.7666702187
-33757.2974930135,1027.9697164745
-33757.9015333513,1027.1727627304
-33758.5055736891,1026.3758089863
-33759.1096140269,1025.5788552421
-33759.7136543647,1024.7819014980
-33760.3176947026,1023.9849477539
-33760.9217350404,1023.1879940097
-33761.5257753782,1022.3910402656
-33762.1298157160,1021.5940865215
-33762.7338560538,1020.7971327773
-33763.3378963916,1020.0001790332
-33763.9419367294,1019.2032252891
-33764.5459770673,1018.4062715449
-33765.1500174051,1017.6093178008
-33765.7540577429,1016.8123640567
-33766.3580980807,1016.0154103125
-33766.9621384185,1015.2184565684
-33767.5661787564,1014.4215028242
-33768.1702190942,1013.6245490801
-33768.7742594320,1012.8275953360
-33769.3782997698,1012.0306415918
-33769.9823401076,1011.2336878477
-33770.5863804454,1010.4367341036
-33771.1904207833,1009.6397803594
-33771.7944611211,1008.8428266153
-33772.3985014589,1008.0458728712
-33773.0025417967,1007.2489191270
-33773.6065821345,1006.4519653829
-33774.2106224723,1005.6550116388
-33774.8146628101,1004.8580578946
-33775.4187031480,1004.0611041505
-33776.0227434858,1003.2641504064
-33776.6267838236,1002.4671966622
-33777.2308241614,1001.6702429181
-33777.8348644992,1000.8732891740
-33778.4389048370,1000.0763354298
-33779.0429451749,999.2793816857
-33779.6469855127,998.4824279416
-33780.2510258505,997.6854741974
-33780.8550661883,996.8885204533
-33781.4591065261,996.0915667091
-33782.0631468639,995.2946129650
-33782.6671872018,994.4976592209
-33783.2712275396,993.7007054767
-33783.8752678774,992.9037517326
-33784.4793082152,992.1067979885
-33785.0833485530,991.3098442443
-33785.6873888908,990.5128905002
-33786.2914292287,989.7159367561
-33786.8954695665,988.9189830119
-33787.4995099043,988.1220292678
-33788.1035502421,987.3250755237
-33788.7075905799,986.5281217795
-33789.3116309177,985.7311680354
-33789.9156712556,984.9342142913
-33790.5197115934,984.1372605471
-33791.1237519312,983.3403068030
-33791.7277922690,982.5433530589
-33792.3318326068,981.7463993147
-33792.9358729446,980.9494455706
-33793.5399132825,980.1524918265
-33794.1439536203,979.3555380823
-33794.7479939581,978.5585843382
-33795.3520342959,977.7616305940
-33795.9560746337,976.9646768499
-33796.5601149715,976.1677231058
-33797.1641553094,975.3707693616
-33797.7543418252,974.5667582071
-33798.0438842890,973.6095930376
-33798.3334267527,972.6524278682
-33798.6229692165,971.6952626987
-33798.9125116803,970.7380975292
-33799.2020541441,969.7809323597
-33799.4915966078,968.8237671902
-33799.7811390716,967.8666020207
-33800.0706815354,966.9094368512
-33800.3602239991,965.9522716818
-33800.6497664629,964.9951065123
-33800.9393089267,964.0379413428
-33801.2288513904,963.0807761733
-33801.5183938542,962.1236110038
-33801.8079363180,961.1664458343
-33802.0974787817,960.2092806649
-33802.3870212455,959.2521154954
-33802.6765637093,958.2949503259
-33802.9661061731,957.3377851564
-33803.2556486368,956.3806199869
-33803.5451911006,955.4234548174
-33803.8347335644,954.4662896479
-33804.1242760281,953.5091244785
-33804.4138184919,952.5519593090
-33804.7033609557,951.5947941395
-33804.9929034194,950.6376289700
-33805.2824458832,949.6804638005
-33805.5719883470,948.7232986310
-33805.8615308108,947.7661334616
-33806.1510732745,946.8089682921
-33806.4406157383,945.8518031226
-33806.7301582021,944.8946379531
-33807.0197006658,943.9374727836
-33807.3092431296,942.9803076141
-33807.5987855934,942.0231424446
-33808.0393797181,941.1421073009
-33808.6365238734,940.3399733609
-33809.2336680288,939.5378394209
-33809.8308121841,938.7357054809
-33810.4279563395,937.9335715408
-33811.0251004948,937.1314376008
-33811.6222446502,936.3293036608
-33812.2193888055,935.5271697208
-33812.8165329608,934.7250357808
-33813.4136771162,933.9229018407
-33814.0108212715,933.1207679007
-33814.6079654269,932.3186339607
-33815.2051095822,931.5165000207
-33815.8022537376,930.7143660807
-33816.3993978929,929.9122321406
-33816.9965420483,929.1100982006
-33817.5936862036,928.3079642606
-33818.1908303590,927.5058303206
-33818.7879745143,926.7036963806
-33819.2091021750,925.7982393485
-33819.6184029018,924.8858398115
-33820.0277036287,923.9734402746
-33820.4370043555,923.0610407377
-33820.8463050824,922.1486412007
-33821.2556058092,921.2362416638
-33821.6649065361,920.3238421269
-33822.0742072629,919.4114425899
-33822.4835079898,918.4990430530
-33822.8928087166,917.5866435161
-33823.3021094435,916.6742439791
-33823.7114101703,915.7618444422
-33824.1207108972,914.8494449052
-33824.5300116240,913.9370453683
-33824.9393123509,913.0246458314
-33825.3486130777,912.1122462944
-33825.7579138046,911.1998467575
-33826.1672145314,910.2874472206
-33826.5765152583,909.3750476836
-33826.9736272991,908.4573581059
-33827.3605308710,907.5352379260
-33827.7474344430,906.6131177462
-33828.1343380149,905.6909975664
-33828.5212415869,904.7688773866
-33828.9081451588,903.8467572068
-33829.2950487308,902.9246370270
-33829.6819523027,902.0025168472
-33830.0688558747,901.0803966674
-33830.4557594466,900.1582764876
-33830.8426630186,899.2361563077
-33831.2295665905,898.3140361279
-33831.6164701624,897.3919159481
-33832.0033737344,896.4697957683
-33832.3902773063,895.5476755885
-33832.7771808783,894.6255554087
-33833.1640844502,893.7034352289
-33833.5509880222,892.7813150491
-33833.9378915941,891.8591948693
-33834.3247951661,890.9370746895
-33834.7116987380,890.0149545096
-33835.0986023100,889.0928343298
-33835.4855058819,888.1707141500
-33835.8724094539,887.2485939702
-33836.2593130258,886.3264737904
-33836.6462165978,885.4043536106
-33837.0873929926,884.5071542746
-33837.5346065881,883.6127270836
-33837.9818201836,882.7182998926
-33838.4290337791,881.8238727016
-33838.8762473746,880.9294455106
-33839.3234609701,880.0350183196
-33839.7706745656,879.1405911286
-33840.2178881611,878.2461639376
-33840.6651017566,877.3517367466
-33841.1123153521,876.4573095556
-33841.5595289476,875.5628823646
-33842.0067425431,874.6684551736
-33842.4539561386,873.7740279826
-33842.9011697341,872.8796007916
-33843.3483833296,871.9851736006
-33843.8775797248,871.1466212535
-33844.5465444564,870.4033271073
-33845.2155091880,869.6600329611
-33845.8844739196,868.9167388148
-33846.5534386512,868.1734446686
-33847.2224033829,867.4301505223
-33847.8913681145,866.6868563761
-33848.5603328461,865.9435622298
-33849.2292975777,865.2002680836
-33849.8982623094,864.4569739373
-33850.5672270410,863.7136797911
-33851.2361917726,862.9703856448
-33851.9051565042,862.2270914986
-33852.5741212358,861.4837973523
-33853.2430859675,860.7405032061
-33853.9120506991,859.9972090598
-33854.6328229509,859.3050140330
-33855.3668368953,858.6258796359
-33856.1008508397,857.9467452387
-33856.8348647841,857.2676108415
-33857.5688787285,856.5884764444
-33858.3028926729,855.9093420472
-33859.0369066173,855.2302076501
-33859.7709205617,854.5510732529
-33860.5049345062,853.8719388557
-33861.2389484506,853.1928044586
-33861.9729623950,852.5136700614
-33862.7069763394,851.8345356642
