x,y
-39581.8246193314,-1978.9809601888
-39582.5132436825,-1979.7060784571
-39583.2018680336,-1980.4311967255
-39583.8904923847,-1981.1563149938
-39584.5791167358,-1981.8814332621
-39585.2677410869,-1982.6065515305
-39585.9563654380,-1983.3316697988
-39586.6449897891,-1984.0567880671
-39587.3336141403,-1984.7819063354
-39588.0222384914,-1985.5070246038
-39588.7108628425,-1986.2321428721
-39589.3994871936,-1986.9572611404
-39590.0881115447,-1987.6823794088
-39590.7767358958,-1988.4074976771
-39591.4653602469,-1989.1326159454
-39592.1539845980,-1989.8577342138
-39592.8426089491,-1990.5828524821
-39593.5312333002,-1991.3079707504
-39594.2198576513,-1992.0330890187
-39594.9084820024,-1992.7582072871
-39595.5971063535,-1993.4833255554
-39596.2857307046,-1994.2084438237
-39596.9743550557,-1994.9335620921
-39597.6629794068,-1995.6586803604
-39598.3516037579,-1996.3837986287
-39599.0402281090,-1997.1089168970
-39599.7288524601,-1997.8340351654
-39600.4174768112,-1998.5591534337
-39601.1061011624,-1999.2842717020
-39601.7947255135,-2000.0093899704
-39602.4833498646,-2000.7345082387
-39603.1719742157,-2001.4596265070
-39603.8605985668,-2002.1847447754
-39604.5492229179,-2002.9098630437
-39605.2378472690,-2003.6349813120
-39605.9264716201,-2004.3600995803
-39606.6150959712,-2005.0852178487
-39607.3037203223,-2005.8103361170
-39607.9923446734,-2006.5354543853
-39608.6809690245,-2007.2605726537
-39609.3695933756,-2007.9856909220
-39610.0582177267,-2008.7108091903
-39610.7468420778,-2009.4359274586
-39611.4354664289,-2010.1610457270
-39612.1240907800,-2010.8861639953
-39612.8127151311,-2011.6112822636
-39613.5013394822,-2012.3364005320
-39614.1899638334,-2013.0615188003
-39614.8785881845,-2013.7866370686
-39615.5672125356,-2014.5117553370
-39616.2558368867,-2015.2368736053
-39616.9444612378,-2015.9619918736
-39617.6330855889,-2016.6871101419
-39618.3217099400,-2017.4122284103
-39619.0103342911,-2018.1373466786
-39619.6989586422,-2018.8624649469
-39620.3875829933,-2019.5875832153
-39621.0762073444,-2020.3127014836
-39621.7648316955,-2021.0378197519
-39622.4534560466,-2021.7629380202
-39623.1420803977,-2022.4880562886
-39623.8307047488,-2023.2131745569
-39624.5193290999,-2023.9382928252
-39625.2079534510,-2024.6634110936
-39625.8965778021,-2025.3885293619
-39626.5852021532,-2026.1136476302
-39627.2738265044,-2026.8387658985
-39627.9624508555,-2027.5638841669
-39628.6510752066,-2028.2890024352
-39629.4084725624,-2028.9367305194
-39630.2094832278,-2029.5353805956
-39631.0104938933,-2030.1340306719
-39631.8115045587,-2030.7326807482
-39632.6125152242,-2031.3313308245
-39633.4135258896,-2031.9299809008
-39634.2145365551,-2032.5286309771
