x,y
-32928.6571029555,-4804.6532334940
-32930.6544477288,-4806.7024573523
-32932.6517925021,-4808.7516812106
-32934.6491372754,-4810.8009050689
-32936.6464820486,-4812.8501289272
-32938.6438268219,-4814.8993527855
-32940.6411715952,-4816.9485766438
-32942.6385163685,-4818.9978005021
-32944.6358611417,-4821.0470243604
-32946.6332059150,-4823.0962482187
-32948.6305506883,-4825.1454720770
-32950.6278954616,-4827.1946959353
-32952.6252402349,-4829.2439197936
-32954.6225850081,-4831.2931436519
-32956.6199297814,-4833.3423675102
-32958.6172745547,-4835.3915913685
-32960.6146193280,-4837.4408152268
-32962.6119641013,-4839.4900390851
-32964.6093088745,-4841.5392629434
-32966.6066536478,-4843.5884868017
-32968.6039984211,-4845.6377106600
-32970.6013431944,-4847.6869345183
-32972.5986879677,-4849.7361583766
-32974.5960327409,-4851.7853822349
-32976.5933775142,-4853.8346060932
-32978.5907222875,-4855.8838299515
-32980.5880670608,-4857.9330538098
-32982.5854118341,-4859.9822776681
-32984.5827566073,-4862.0315015264
-32986.5801013806,-4864.0807253847
-32988.5774461539,-4866.1299492430
-32990.5747909272,-4868.1791731013
-32992.5721357004,-4870.2283969596
-32994.5694804737,-4872.2776208179
-32996.5668252470,-4874.3268446762
-32998.5641700203,-4876.3760685345
-33000.5615147936,-4878.4252923928
-33002.5588595668,-4880.4745162511
-33004.5562043401,-4882.5237401094
-33006.5535491134,-4884.5729639677
-33008.5508938867,-4886.6221878260
-33010.5482386600,-4888.6714116843
-33012.5455834332,-4890.7206355426
-33014.5429282065,-4892.7698594009
-33016.5402729798,-4894.8190832592
-33018.5376177531,-4896.8683071175
-33020.5349625264,-4898.9175309758
-33022.5323072996,-4900.9667548341
-33024.5296520729,-4903.0159786924
-33026.5269968462,-4905.0652025507
-33028.5243416195,-4907.1144264090
-33030.5216863928,-4909.1636502672
-33031.5333285506,-4910.4087483077
-33032.5449707085,-4911.6538463482
-33033.5566128664,-4912.8989443887
-33034.5682550243,-4914.1440424292
-33035.5798971822,-4915.3891404697
-33036.5915393401,-4916.6342385102
-33037.6031814980,-4917.8793365506
-33038.6148236559,-4919.1244345911
-33039.6264658138,-4920.3695326316
-33040.6381079717,-4921.6146306721
