x,y
-32857.2196028827,-4488.4761498381
-32857.4011796802,-4489.7731269637
-32857.5827564778,-4491.0701040892
-32857.7643332754,-4492.3670812147
-32857.9459100729,-4493.6640583402
-32858.1274868705,-4494.9610354657
-32858.3090636681,-4496.2580125912
-32858.4906404656,-4497.5549897167
-32858.6722172632,-4498.8519668422
-32858.8537940608,-4500.1489439677
-32859.0353708584,-4501.4459210932
-32859.2169476559,-4502.7428982187
-32859.3985244535,-4504.0398753442
-32859.5801012511,-4505.3368524697
-32859.7616780486,-4506.6338295952
-32859.9432548462,-4507.9308067207
-32860.1248316438,-4509.2277838462
-32860.3064084414,-4510.5247609717
-32860.4879852389,-4511.8217380973
-32860.6695620365,-4513.1187152228
-32860.8511388341,-4514.4156923483
-32861.0327156316,-4515.7126694738
-32861.2142924292,-4517.0096465993
-32861.3958692268,-4518.3066237248
-32861.5774460244,-4519.6036008503
-32861.7590228219,-4520.9005779758
-32861.9405996195,-4522.1975551013
-32862.1221764171,-4523.4945322268
-32862.3037532146,-4524.7915093523
-32862.4853300122,-4526.0884864778
-32862.6669068098,-4527.3854636033
-32862.8484836074,-4528.6824407288
-32863.0300604049,-4529.9794178543
-32863.2116372025,-4531.2763949798
-32863.3932140001,-4532.5733721054
-32863.5747907976,-4533.8703492309
-32863.7563675952,-4535.1673263564
-32863.9379443928,-4536.4643034819
-32864.1195211903,-4537.7612806074
-32864.3010979879,-4539.0582577329
-32864.4826747855,-4540.3552348584
-32864.6642515831,-4541.6522119839
-32864.8458283806,-4542.9491891094
-32865.0274051782,-4544.2461662349
-32865.2089819758,-4545.5431433604
-32865.3905587733,-4546.8401204859
-32865.5721355709,-4548.1370976114
-32865.7537123685,-4549.4340747369
-32865.9352891660,-4550.7310518624
-32866.1168659636,-4552.0280289879
-32866.2984427612,-4553.3250061134
-32866.4800195588,-4554.6219832390
-32866.9469313239,-4556.0486580770
-32867.4138430891,-4557.4753329151
-32867.8807548543,-4558.9020077531
-32868.3476666195,-4560.3286825912
-32868.8145783847,-4561.7553574292
-32869.2814901499,-4563.1820322673
-32869.7484019150,-4564.6087071053
-32870.2153136802,-4566.0353819434
-32870.6822254454,-4567.4620567815
-32871.1491372106,-4568.8887316195
-32871.6160489758,-4570.3154064576
-32872.0829607409,-4571.7420812956
-32872.5498725061,-4573.1687561337
-32873.0167842713,-4574.5954309717
-32873.4836960365,-4576.0221058098
-32873.9506078017,-4577.4487806479
-32874.4175195669,-4578.8754554859
-32874.8844313320,-4580.3021303240
-32875.3513430972,-4581.7288051620
-32875.8182548624,-4583.1554800001
-32876.2851666276,-4584.5821548381
-32876.7520783928,-4586.0088296762
-32877.2189901580,-4587.4355045143
-32877.6859019231,-4588.8621793523
-32878.1528136883,-4590.2888541904
-32878.6197254535,-4591.7155290284
-32879.0866372187,-4593.1422038665
-32879.5535489839,-4594.5688787045
-32880.0204607490,-4595.9955535426
-32880.4873725142,-4597.4222283806
-32880.9542842794,-4598.8489032187
-32881.4211960446,-4600.2755780568
-32881.8881078098,-4601.7022528948
-32882.3550195750,-4603.1289277329
-32882.8219313401,-4604.5556025709
-32883.2888431053,-4605.9822774090
-32883.7557548705,-4607.4089522470
-32884.2226666357,-4608.8356270851
-32884.6895784009,-4610.2623019232
-32885.1564901660,-4611.6889767612
-32885.6234019312,-4613.1156515993
-32886.0903136964,-4614.5423264373
-32886.5572254616,-4615.9690012754
-32887.0241372268,-4617.3956761134
-32887.4910489920,-4618.8223509515
-32887.9579607571,-4620.2490257896
-32888.4248725223,-4621.6757006276
-32888.8917842875,-4623.1023754657
-32889.3586960527,-4624.5290503037
-32889.8256078179,-4625.9557251418
-32890.2925195831,-4627.3823999798
-32891.0188267733,-4628.3940421377
-32891.7451339636,-4629.4056842956
-32892.4714411539,-4630.4173264535
-32893.1977483442,-4631.4289686114
-32893.9240555345,-4632.4406107693
-32894.6503627248,-4633.4522529272
-32895.3766699150,-4634.4638950851
-32896.1029771053,-4635.4755372430
-32896.8292842956,-4636.4871794009
-32897.5555914859,-4637.4988215588
-32898.2818986762,-4638.5104637167
-32899.0082058665,-4639.5221058746
-32899.7345130567,-4640.5337480325
-32900.4608202470,-4641.5453901904
-32901.1871274373,-4642.5570323483
-32901.9134346276,-4643.5686745061
-32902.6397418179,-4644.5803166640
-32903.3660490082,-4645.5919588219
-32904.0923561984,-4646.6036009798
-32904.8186633887,-4647.6152431377
-32905.5449705790,-4648.6268852956
-32906.2712777693,-4649.6385274535
-32906.9975849596,-4650.6501696114
-32907.7238921499,-4651.6618117693
-32908.4501993401,-4652.6734539272
-32909.1765065304,-4653.6850960851
-32909.9028137207,-4654.6967382430
-32910.6291209110,-4655.7083804009
-32911.3554281013,-4656.7200225588
-32912.0817352916,-4657.7316647167
-32912.8080424818,-4658.7433068746
-32913.5343496721,-4659.7549490325
-32914.2606568624,-4660.7665911904
-32914.9869640527,-4661.7782333483
-32915.7132712430,-4662.7898755061
-32916.4395784333,-4663.8015176640
-32917.1658856235,-4664.8131598219
-32917.8921928138,-4665.8248019798
-32918.6185000041,-4666.8364441377
-32919.3448071944,-4667.8480862956
-32920.0711143847,-4668.8597284535
-32920.7974215750,-4669.8713706114
-32921.5237287652,-4670.8830127693
-32922.2500359555,-4671.8946549272
-32922.9763431458,-4672.9062970851
-32923.7026503361,-4673.9179392430
-32924.4289575264,-4674.9295814009
-32925.1552647167,-4675.9412235588
-32925.8815719069,-4676.9528657167
-32926.6078790972,-4677.9645078746
-32927.3341862875,-4678.9761500325
-32928.6052238705,-4680.2471876155
-32929.8762614535,-4681.5182251985
