x,y
761.6611890622,-38274.6025474222
762.3096776249,-38267.6507500295
762.9581661877,-38260.6989526368
763.6066547504,-38253.7471552440
764.2551433132,-38246.7953578513
764.9036318760,-38239.8435604586
765.5521204387,-38232.8917630659
766.2006090015,-38225.9399656732
766.8490975642,-38218.9881682805
767.4975861270,-38212.0363708878
768.1460746897,-38205.0845734951
768.7945632525,-38198.1327761023
769.4430518152,-38191.1809787096
770.0915403780,-38184.2291813169
770.7400289407,-38177.2773839242
771.3885175035,-38170.3255865315
772.0370060662,-38163.3737891388
772.6854946290,-38156.4219917461
773.3339831917,-38149.4701943534
773.9824717545,-38142.5183969607
774.6309603172,-38135.5665995679
775.2794488800,-38128.6148021752
775.9279374428,-38121.6630047825
776.5764260055,-38114.7112073898
777.2249145683,-38107.7594099971
777.8734031310,-38100.8076126044
778.5218916938,-38093.8558152117
779.1703802565,-38086.9040178190
779.8188688193,-38079.9522204262
780.4673573820,-38073.0004230335
781.1158459448,-38066.0486256408
781.7643345075,-38059.0968282481
782.4128230703,-38052.1450308554
783.0613116330,-38045.1932334627
783.7098001958,-38038.2414360700
784.3582887585,-38031.2896386773
785.0067773213,-38024.3378412846
785.6552658840,-38017.3860438918
786.3037544468,-38010.4342464991
786.9522430096,-38003.4824491064
787.6007315723,-37996.5306517137
788.2492201351,-37989.5788543210
788.8977086978,-37982.6270569283
789.5461972606,-37975.6752595356
790.1946858233,-37968.7234621429
790.8431743861,-37961.7716647501
791.4916629488,-37954.8198673574
792.1401515116,-37947.8680699647
792.7886400743,-37940.9162725720
793.4371286371,-37933.9644751793
794.0856171998,-37927.0126777866
794.7341057626,-37920.0608803939
795.2010175278,-37913.7835111064
795.6679292930,-37907.5061418190
796.1348410581,-37901.2287725315
796.6017528233,-37894.9514032441
797.0686645885,-37888.6740339566
797.5355763537,-37882.3966646692
798.0024881189,-37876.1192953817
798.4693998840,-37869.8419260943
798.9363116492,-37863.5645568068
799.4032234144,-37857.2871875194
799.8701351796,-37851.0098182319
800.3370469448,-37844.7324489445
800.8039587100,-37838.4550796570
801.2708704751,-37832.1777103696
801.7377822403,-37825.9003410821
802.2046940055,-37819.6229717947
802.6716057707,-37813.3456025072
803.1385175359,-37807.0682332198
803.6054293011,-37800.7908639324
804.0723410662,-37794.5134946449
804.5392528314,-37788.2361253575
805.0061645966,-37781.9587560700
805.4730763618,-37775.6813867826
805.9399881270,-37769.4040174951
806.4068998921,-37763.1266482077
806.8738116573,-37756.8492789202
807.3407234225,-37750.5719096328
807.8076351877,-37744.2945403453
808.2745469529,-37738.0171710579
808.7414587181,-37731.7398017704
809.2083704832,-37725.4624324830
809.6752822484,-37719.1850631955
810.1421940136,-37712.9076939081
810.6091057788,-37706.6303246206
811.0760175440,-37700.3529553332
811.5429293091,-37694.0755860457
812.0098410743,-37687.7982167583
812.4767528395,-37681.5208474708
812.9436646047,-37675.2434781834
813.4105763699,-37668.9661088959
813.8774881351,-37662.6887396085
814.3443999002,-37656.4113703210
814.8113116654,-37650.1340010336
815.2782234306,-37643.8566317461
815.7451351958,-37637.5792624587
816.2120469610,-37631.3018931712
816.6789587262,-37625.0245238838
817.1458704913,-37618.7471545963
817.6127822565,-37612.4697853089
818.0796940217,-37606.1924160214
818.5466057869,-37599.9150467340
818.7541221270,-37595.3756267947
818.9616384670,-37590.8362068555
819.1691548071,-37586.2967869162
819.3766711472,-37581.7573669769
819.5841874873,-37577.2179470376
819.7917038274,-37572.6785270984
819.9992201674,-37568.1391071591
820.2067365075,-37563.5996872198
