x,y
-32860.1961653856,-4217.6089620619
-32861.1299889160,-4217.6608411469
-32862.0638124464,-4217.7127202319
-32862.9976359767,-4217.7645993169
-32863.9314595071,-4217.8164784019
-32864.8652830374,-4217.8683574870
-32865.7991065678,-4217.9202365720
-32866.7329300982,-4217.9721156570
-32867.6667536285,-4218.0239947420
-32868.6005771589,-4218.0758738270
-32869.5344006893,-4218.1277529121
-32870.4682242196,-4218.1796319971
-32871.4020477500,-4218.2315110821
-32872.3358712804,-4218.2833901671
-32873.2696948107,-4218.3352692521
-32874.2035183411,-4218.3871483372
-32875.1373418715,-4218.4390274222
-32876.0711654018,-4218.4909065072
-32877.0049889322,-4218.5427855922
-32877.9388124625,-4218.5946646772
-32878.8726359929,-4218.6465437623
-32879.8064595233,-4218.6984228473
-32880.7402830536,-4218.7503019323
-32881.6741065840,-4218.8021810173
-32882.6079301144,-4218.8540601023
-32883.5417536447,-4218.9059391874
-32884.4755771751,-4218.9578182724
-32885.4094007055,-4219.0096973574
-32886.3432242358,-4219.0615764424
-32887.2770477662,-4219.1134555274
-32888.2108712966,-4219.1653346125
-32889.1446948269,-4219.2172136975
-32890.0785183573,-4219.2690927825
-32891.0123418876,-4219.3209718675
-32891.9461654180,-4219.3728509526
-32892.8799889484,-4219.4247300376
-32893.8138124787,-4219.4766091226
-32894.7476360091,-4219.5284882076
-32895.6814595395,-4219.5803672926
-32896.6152830698,-4219.6322463777
-32897.5491066002,-4219.6841254627
-32898.4829301306,-4219.7360045477
-32899.4167536609,-4219.7878836327
-32900.3505771913,-4219.8397627177
-32901.2844007217,-4219.8916418028
-32902.2182242520,-4219.9435208878
-32903.1520477824,-4219.9953999728
-32904.0858713127,-4220.0472790578
-32905.0196948431,-4220.0991581428
-32905.9535183735,-4220.1510372279
-32906.8873419038,-4220.2029163129
-32907.8211654342,-4220.2547953979
-32908.5993517095,-4220.3326140254
-32909.3775379848,-4220.4104326530
-32910.1557242601,-4220.4882512805
-32910.9339105354,-4220.5660699080
-32911.7120968107,-4220.6438885355
-32912.4902830860,-4220.7217071631
-32913.2684693613,-4220.7995257906
-32914.0466556366,-4220.8773444181
-32914.8248419119,-4220.9551630457
-32915.6030281872,-4221.0329816732
-32916.3812144625,-4221.1108003007
-32917.1594007378,-4221.1886189283
-32917.9375870132,-4221.2664375558
-32918.7157732885,-4221.3442561833
-32919.4939595638,-4221.4220748109
-32920.2721458391,-4221.4998934384
-32921.0503321144,-4221.5777120659
-32921.8285183897,-4221.6555306934
-32922.6067046650,-4221.7333493210
-32923.3848909403,-4221.8111679485
-32924.1630772156,-4221.8889865760
-32924.9412634909,-4221.9668052036
-32925.7194497662,-4222.0446238311
-32926.4976360415,-4222.1224424586
-32927.2758223168,-4222.2002610862
-32928.0540085921,-4222.2780797137
-32928.8321948674,-4222.3558983412
-32929.6103811427,-4222.4337169687
-32930.3885674180,-4222.5115355963
-32931.1667536933,-4222.5893542238
-32931.9449399686,-4222.6671728513
-32932.7231262439,-4222.7449914789
-32933.5013125192,-4222.8228101064
-32934.2794987945,-4222.9006287339
-32935.0576850698,-4222.9784473615
-32935.8358713451,-4223.0562659890
-32936.6140576204,-4223.1340846165
