x,y
-37052.5190863285,-182.7131246129
-37053.1156958062,-184.0879203660
-37053.7123052840,-185.4627161190
-37054.3089147617,-186.8375118720
-37054.9055242394,-188.2123076251
-37055.5021337172,-189.5871033781
-37056.0987431949,-190.9618991311
-37056.6953526726,-192.3366948842
-37057.2919621504,-193.7114906372
-37057.8885716281,-195.0862863902
-37058.4851811058,-196.4610821433
-37059.0817905836,-197.8358778963
-37059.6784000613,-199.2106736494
-37060.2750095390,-200.5854694024
-37060.8716190168,-201.9602651554
-37061.4682284945,-203.3350609085
-37062.0648379722,-204.7098566615
-37062.6614474500,-206.0846524145
-37063.2580569277,-207.4594481676
-37063.8546664054,-208.8342439206
-37064.4512758832,-210.2090396736
-37065.0478853609,-211.5838354267
-37065.6444948386,-212.9586311797
-37066.2411043164,-214.3334269328
-37066.8377137941,-215.7082226858
-37067.4343232718,-217.0830184388
-37068.0309327496,-218.4578141919
-37068.6275422273,-219.8326099449
-37069.2241517050,-221.2074056979
-37069.8207611828,-222.5822014510
-37070.4173706605,-223.9569972040
-37071.0139801382,-225.3317929570
-37071.6105896160,-226.7065887101
-37072.2071990937,-228.0813844631
-37072.8038085714,-229.4561802162
-37073.4004180492,-230.8309759692
-37073.9970275269,-232.2057717222
-37074.5936370046,-233.5805674753
-37075.1902464824,-234.9553632283
-37075.7868559601,-236.3301589813
-37076.3834654378,-237.7049547344
-37076.9800749156,-239.0797504874
-37077.5766843933,-240.4545462404
-37078.1732938710,-241.8293419935
-37078.7699033488,-243.2041377465
-37079.3665128265,-244.5789334996
-37079.9631223042,-245.9537292526
-37080.5597317820,-247.3285250056
-37081.1563412597,-248.7033207587
-37081.7529507374,-250.0781165117
-37082.3495602151,-251.4529122647
-37082.9461696929,-252.8277080178
-37083.4130814581,-253.7615315481
-37083.8799932232,-254.6953550785
-37084.3469049884,-255.6291786089
-37084.8138167536,-256.5630021392
-37085.2807285188,-257.4968256696
-37085.7476402840,-258.4306492000
-37086.2145520492,-259.3644727303
-37086.6814638143,-260.2982962607
-37087.1483755795,-261.2321197910
-37087.6152873447,-262.1659433214
-37088.0821991099,-263.0997668518
-37088.5491108751,-264.0335903821
-37089.0160226402,-264.9674139125
-37089.4829344054,-265.9012374429
-37089.9498461706,-266.8350609732
-37090.4167579358,-267.7688845036
