x,y
-37074.3472113508,-232.9839579975
-37073.8802995856,-231.8685576696
-37073.4133878204,-230.7531573417
-37072.9464760552,-229.6377570137
-37072.4795642901,-228.5223566858
-37072.0126525249,-227.4069563579
-37071.5457407597,-226.2915560299
-37071.0788289945,-225.1761557020
-37070.6119172293,-224.0607553740
-37070.1450054641,-222.9453550461
-37069.6780936990,-221.8299547182
-37069.2111819338,-220.7145543902
-37068.7442701686,-219.5991540623
-37068.2773584034,-218.4837537344
-37067.8104466382,-217.3683534064
-37067.3435348731,-216.2529530785
-37066.8766231079,-215.1375527506
-37066.4097113427,-214.0221524226
-37065.9427995775,-212.9067520947
-37065.4758878123,-211.7913517668
-37065.0089760471,-210.6759514388
-37064.5420642820,-209.5605511109
-37064.0751525168,-208.4451507830
-37063.6082407516,-207.3297504550
-37063.1413289864,-206.2143501271
-37062.6744172212,-205.0989497992
-37062.2075054561,-203.9835494712
-37061.7405936909,-202.8681491433
-37061.2736819257,-201.7527488153
-37060.8067701605,-200.6373484874
-37060.3398583953,-199.5219481595
-37059.8729466301,-198.4065478315
-37059.4060348650,-197.2911475036
-37058.9391230998,-196.1757471757
-37058.4722113346,-195.0603468477
-37058.0052995694,-193.9449465198
-37057.5383878042,-192.8295461919
-37057.0714760391,-191.7141458639
-37056.6045642739,-190.5987455360
-37056.1376525087,-189.4833452081
-37055.6707407435,-188.3679448801
-37055.2038289783,-187.2525445522
-37054.7369172131,-186.1371442243
-37054.2700054480,-185.0217438963
-37053.8030936828,-183.9063435684
-37053.3361819176,-182.7909432404
-37052.8692701524,-181.6755429125
-37052.4023583872,-180.5601425846
-37051.9354466220,-179.4447422566
-37051.4685348569,-178.3293419287
-37051.0016230917,-177.2139416008
-37050.5347113265,-176.0985412728
-37050.1196786463,-174.5421687222
-37049.7046459662,-172.9857961716
-37049.2896132860,-171.4294236210
-37048.8745806059,-169.8730510704
-37048.4595479257,-168.3166785198
-37048.0445152455,-166.7603059692
-37047.6294825654,-165.2039334186
-37047.2144498852,-163.6475608680
-37046.7994172050,-162.0911883174
-37046.3843845249,-160.5348157668
-37045.9693518447,-158.9784432162
-37045.5543191646,-157.4220706656
-37045.1392864844,-155.8656981149
-37044.7242538042,-154.3093255643
-37044.3092211241,-152.7529530137
-37043.8941884439,-151.1965804631
-37043.4791557638,-149.6402079125
-37043.0641230836,-148.0838353619
-37042.6490904034,-146.5274628113
-37042.2340577233,-144.9710902607
-37041.8190250431,-143.4147177101
-37041.4039923629,-141.8583451595
-37040.9889596828,-140.3019726089
-37040.5739270026,-138.7456000583
-37040.1588943225,-137.1892275077
-37039.7438616423,-135.6328549571
-37039.3288289621,-134.0764824064
-37038.9137962820,-132.5201098558
-37038.4987636018,-130.9637373052
-37038.0837309216,-129.4073647546
-37037.6686982415,-127.8509922040
-37037.2536655613,-126.2946196534
-37036.8386328812,-124.7382471028
-37036.4236002010,-123.1818745522
-37036.0085675208,-121.6255020016
-37035.5935348407,-120.0691294510
-37035.1785021605,-118.5127569004
-37034.7634694804,-116.9563843498
-37034.3484368002,-115.4000117992
-37033.9334041200,-113.8436392486
-37033.5183714399,-112.2872666979
-37033.1033387597,-110.7308941473
-37032.6883060795,-109.1745215967
-37032.2732733994,-107.6181490461
-37031.8582407192,-106.0617764955
-37031.4432080391,-104.5054039449
-37031.0281753589,-102.9490313943
-37030.6131426787,-101.3926588437
-37030.1981099986,-99.8362862931
-37029.7830773184,-98.2799137425
-37029.3680446382,-96.7235411919
-37029.1345887557,-95.2968663538
-37028.9011328731,-93.8701915158
-37028.6676769905,-92.4435166777
-37028.4342211079,-91.0168418396
-37028.2007652253,-89.5901670016
